# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.05469e-05 to 9.11685 h/Mpc,
# number of wavenumbers equal to 270
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:vx_smg                 7:vx_prime_smg           8:d_tot                  9:phi                   10:psi                   11:t_g                   12:t_b                   13:t_ur                  14:t_tot              
       1.054685254309e-05      -1.309362977096e-03      -9.825353331913e-04      -9.825353666532e-04      -1.309342475642e-03      -9.826313446193e-04       4.806784586012e-01       4.805366626383e-01      -1.437522994710e-10      -2.164844907153e-15      -1.468751957805e-10      -5.712051373908e-14       3.177967454445e+02       3.358894347847e+02 
       1.117179284516e-05      -1.469035531862e-03      -1.102422585055e-03      -1.102422627181e-03      -1.469009723373e-03      -1.102530287664e-03       4.806782867653e-01       4.805365039910e-01      -1.809653839018e-10      -2.725351470675e-15      -1.848965097312e-10      -7.190725566048e-14       6.899144396176e+02       7.291885047751e+02 
       1.183376318815e-05      -1.648166767568e-03      -1.236938234383e-03      -1.236938287416e-03      -1.648134278556e-03      -1.237059048504e-03       4.806781827931e-01       4.805364148131e-01      -2.278105722080e-10      -3.430945479979e-15      -2.327590329806e-10      -9.052133204141e-14       1.497492131149e+03       1.582696010336e+03 
       1.253495773991e-05      -1.849124710715e-03      -1.387867201481e-03      -1.387867268244e-03      -1.849083812431e-03      -1.388002719144e-03       4.806780058239e-01       4.805362544333e-01      -2.867804924354e-10      -4.319202607313e-15      -2.930094529182e-10      -1.139531892549e-13       3.247560042942e+03       3.431892698945e+03 
       1.327770068094e-05      -2.074564804544e-03      -1.557212272033e-03      -1.557212356081e-03      -2.074513319984e-03      -1.557364277511e-03       4.806778767349e-01       4.805361439771e-01      -3.610125532955e-10      -5.437439919852e-15      -3.688533723209e-10      -1.434495049200e-13       7.014755029599e+03       7.408721799575e+03 
       1.406445390808e-05      -2.327464210688e-03      -1.747220420017e-03      -1.747220525826e-03      -2.327399400970e-03      -1.747390912741e-03       4.806777501554e-01       4.805360382850e-01      -4.544558448637e-10      -6.845173167619e-15      -4.643253350563e-10      -1.805794176581e-13       1.492635580842e+04       1.573525426667e+04 
       1.489782519471e-05      -2.611161042375e-03      -1.960412982322e-03      -1.960413115526e-03      -2.611079459737e-03      -1.960604202494e-03       4.806775298464e-01       4.805358414052e-01      -5.720808554961e-10      -8.617280668740e-15      -5.845036610280e-10      -2.273179497621e-13       3.040683155406e+04       3.189401796377e+04 
       1.578057683454e-05      -2.929397275638e-03      -2.199618784229e-03      -2.199618951920e-03      -2.929294579472e-03      -2.199833241360e-03       4.806772601310e-01       4.805355979892e-01      -7.201432759963e-10      -1.084811140422e-14      -7.357797510257e-10      -2.861508148336e-13       5.558344318377e+04       5.762700047385e+04 
       1.671563479743e-05      -3.286367472137e-03      -2.468011871746e-03      -2.468012082850e-03      -3.286238200827e-03      -2.468252376475e-03       4.806770146212e-01       4.805353819732e-01      -9.065165392448e-10      -1.365637477178e-14      -9.261974386192e-10      -3.602064694350e-13       7.990563980567e+04       8.073771636739e+04 
       1.770609842788e-05      -3.686773197955e-03      -2.769153817465e-03      -2.769154083224e-03      -3.686610476099e-03      -2.769423517022e-03       4.806766859655e-01       4.805350864083e-01      -1.141109285015e-09      -1.719185113978e-14      -1.165880238606e-09      -4.534221742263e-13       6.628702138041e+04       6.333611792259e+04 
