# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=10
# for k=1.05469e-05 to 9.11685 h/Mpc,
# number of wavenumbers equal to 270
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:vx_smg                 7:vx_prime_smg           8:d_tot                  9:phi                   10:psi                   11:t_g                   12:t_b                   13:t_ur                  14:t_tot              
       1.054685254309e-05      -1.542309898305e-04      -1.156794762517e-04      -1.156794770432e-04      -1.542308670527e-04      -1.158036556758e-04       6.013538521481e-01       5.993762780219e-01      -5.318689107235e-12      -1.235000397414e-15      -5.432196644303e-12      -2.320769304071e-14       3.177967454445e+02       3.358894347847e+02 
       1.117179284516e-05      -1.730488629391e-04      -1.297944951676e-04      -1.297944961641e-04      -1.730487083713e-04      -1.299338231641e-04       6.013537663619e-01       5.993762115677e-01      -6.695800034413e-12      -1.554792817124e-15      -6.838697503693e-12      -2.921661652462e-14       6.899144396176e+02       7.291885047751e+02 
       1.183376318815e-05      -1.941625640880e-04      -1.456318030316e-04      -1.456318042861e-04      -1.941623695008e-04      -1.457881270706e-04       6.013536667141e-01       5.993761333303e-01      -8.429468642076e-12      -1.957335915324e-15      -8.609363339955e-12      -3.678134203005e-14       1.497492131149e+03       1.582696010336e+03 
       1.253495773991e-05      -2.178521509680e-04      -1.634015513175e-04      -1.634015528968e-04      -2.178519059996e-04      -1.635769440539e-04       6.013535578460e-01       5.993760482971e-01      -1.061201114550e-11      -2.464104557423e-15      -1.083848099279e-11      -4.630469112595e-14       3.247560042942e+03       3.431892698945e+03 
       1.327770068094e-05      -2.444318297777e-04      -1.833395308932e-04      -1.833395328814e-04      -2.444315213837e-04      -1.835363175781e-04       6.013534324303e-01       5.993759501100e-01      -1.335963896904e-11      -3.102143870480e-15      -1.364474639197e-11      -5.829376059178e-14       7.014755029599e+03       7.408721799575e+03 
       1.406445390808e-05      -2.742541239745e-04      -2.057103058426e-04      -2.057103083457e-04      -2.742537357346e-04      -2.059310950682e-04       6.013532929349e-01       5.993758409987e-01      -1.681866227062e-11      -3.905351419061e-15      -1.717758695732e-11      -7.338694285643e-14       1.492635580842e+04       1.573525426667e+04 
       1.489782519471e-05      -3.077145379091e-04      -2.308107203154e-04      -2.308107234666e-04      -3.077140491498e-04      -2.310584384874e-04       6.013531369845e-01       5.993757190643e-01      -2.117326340706e-11      -4.916495364729e-15      -2.162511550340e-11      -9.238790338822e-14       3.040683155406e+04       3.189401796377e+04 
       1.578057683454e-05      -3.452567946433e-04      -2.589738383928e-04      -2.589738423600e-04      -3.452561793414e-04      -2.592517683845e-04       6.013529618817e-01       5.993755824440e-01      -2.665530090033e-11      -6.189563004126e-15      -2.722414587177e-11      -1.163083744746e-13       5.558344318377e+04       5.762700047385e+04 
       1.671563479743e-05      -3.873787096794e-04      -2.905733638485e-04      -2.905733688428e-04      -3.873779350738e-04      -2.908851883391e-04       6.013527654384e-01       5.993754288267e-01      -3.355668096947e-11      -7.792102544669e-15      -3.427279960054e-11      -1.464220058782e-13       7.990563980567e+04       8.073771636739e+04 
       1.770609842788e-05      -4.346387782062e-04      -3.260285988038e-04      -3.260286050912e-04      -4.346378030584e-04      -3.263784488648e-04       6.013525455524e-01       5.993752567863e-01      -4.224486686220e-11      -9.809385260797e-15      -4.314637559618e-11      -1.843321756092e-13       6.628702138041e+04       6.333611792259e+04 
       1.875525071809e-05      -4.876635611529e-04      -3.658100061955e-04      -3.658100141108e-04      -4.876623335423e-04      -3.662025157520e-04       6.013522982044e-01       5.993750635301e-01      -5.318242013950e-11      -1.234926756967e-14      -5.431733165425e-11      -2.320573482631e-13       3.593101246184e+04       3.492835933884e+04 
       1.986656918977e-05      -5.471559721762e-04      -4.104454538902e-04      -4.104454638550e-04      -5.471544267471e-04      -4.108858207656e-04       6.013520205524e-01       5.993748464014e-01      -6.695169825621e-11      -1.554658206205e-14      -6.838042800467e-11      -2.921384910816e-13       1.801633028417e+04       1.711274724407e+04 
       2.104373742076e-05      -6.139045668195e-04      -4.605272178879e-04      -4.605272304327e-04      -6.139026212975e-04      -4.610212722144e-04       6.013517090901e-01       5.993746028808e-01      -8.428577758841e-11      -1.957172006403e-14      -8.608438758693e-11      -3.677743558059e-13       9.630087189551e+03       8.971792105808e+03 
       2.229065725459e-05      -6.887939598841e-04      -5.167198410988e-04      -5.167198568917e-04      -6.887915106940e-04      -5.172741219737e-04       6.013513597500e-01       5.993743296098e-01      -1.061075210008e-10      -2.463869211169e-14      -1.083717462821e-10      -4.629917026854e-13       4.333535699870e+03       4.130083441139e+03 
       2.361146173358e-05      -7.728165048434e-04      -5.797689504963e-04      -5.797689703781e-04      -7.728134216101e-04      -5.803907918619e-04       6.013509676422e-01       5.993740227089e-01      -1.335786639520e-10      -3.101702562331e-14      -1.364290110927e-10      -5.828596034254e-13       1.753660821768e+03       1.633103559475e+03 
       2.501052879817e-05      -8.670853890668e-04      -6.505111509956e-04      -6.505111760265e-04      -8.670815076433e-04      -6.512087778390e-04       6.013505280256e-01       5.993736793656e-01      -1.681615332615e-10      -3.904822395892e-14      -1.717498041394e-10      -7.337592621390e-13       5.857944310526e+02       5.327866548303e+02 
       2.649249579812e-05      -9.728493110394e-04      -7.298851247043e-04      -7.298851562146e-04      -9.728444248388e-04      -7.306677607831e-04       6.013500344315e-01       5.993732934626e-01      -2.116971750142e-10      -4.915788123175e-14      -2.162143431111e-10      -9.237234432442e-13       1.100158817768e+02       9.597754355737e+01 
       2.806227486340e-05      -1.091508935594e-03      -8.189440870686e-04      -8.189441267377e-04      -1.091502784527e-03      -8.198220755390e-04       6.013494809184e-01       5.993728608212e-01      -2.665029637164e-10      -6.188483585301e-14      -2.721894616683e-10      -1.162863952680e-12       1.544890283833e+01       1.337777373821e+01 
       2.972506918601e-05      -1.224635330263e-03      -9.188697589009e-04      -9.188698088405e-04      -1.224627586991e-03      -9.198546973260e-04       6.013488598398e-01       5.993723745314e-01      -3.354963213789e-10      -7.790234921196e-14      -3.426545504226e-10      -1.463909584716e-12       1.990011469780e+00       1.714592938845e+00 
       3.148639026643e-05      -1.373990629341e-03      -1.030988046221e-03      -1.030988109091e-03      -1.373980881736e-03      -1.032092937656e-03       6.013481630665e-01       5.993718303254e-01      -4.223487505293e-10      -9.807357660946e-14      -4.313600226689e-10      -1.842883270663e-12      -1.235608942232e+05       5.004868099363e-02 
       3.335207618210e-05      -1.541551182620e-03      -1.156786631125e-03      -1.156786710273e-03      -1.541538911997e-03      -1.158026053121e-03       6.013473808996e-01       5.993712182575e-01      -5.316833589267e-10      -1.234586540802e-13      -5.430267909615e-10      -2.319954028032e-12       7.455958967518e+01      -7.900850190527e+04 
       3.532831093829e-05      -1.729533490135e-03      -1.297934710958e-03      -1.297934810599e-03      -1.729518043531e-03      -1.299325004543e-03       6.013465037196e-01       5.993705328183e-01      -6.693177731848e-10      -1.554226486309e-13      -6.835973088083e-10      -2.920509989666e-12       6.846402171312e-02       7.395205073977e+01 
       3.742164496560e-05      -1.940423241549e-03      -1.456305141036e-03      -1.456305266474e-03      -1.940403797164e-03      -1.457864621948e-03       6.013455193644e-01       5.993697629468e-01      -8.425765258515e-10      -1.956533904531e-13      -8.605515337921e-10      -3.676507646712e-12       0.000000000000e+00       8.088283775289e-02 
       3.963901683208e-05      -2.177007837884e-03      -1.633999282532e-03      -1.633999440447e-03      -2.176983361290e-03      -1.635748477200e-03       6.013444148451e-01       5.993688992981e-01      -1.060677770735e-09      -2.462998405352e-13      -1.083304525078e-09      -4.628171326901e-12       8.484344206271e+01      -1.026974925032e+05 
       4.198777624174e-05      -2.442412796425e-03      -1.833374881292e-03      -1.833375080093e-03      -2.442381985734e-03      -1.835336790331e-03       6.013431757113e-01       5.993679300650e-01      -1.335225279681e-09      -3.100475772074e-13      -1.363706846361e-09      -5.826130355441e-12       1.053000159491e-01       7.767506124067e+01 
       4.447570839598e-05      -2.740142486902e-03      -2.057077343269e-03      -2.057077593542e-03      -2.740103703329e-03      -2.059277735506e-03       6.013417854661e-01       5.993668433959e-01      -1.680822277827e-09      -3.903118864071e-13      -1.716674208114e-09      -7.334110009515e-12       1.367325986073e+04       1.241261441975e-01 
       4.711105979834e-05      -3.074125709925e-03      -2.308074829538e-03      -2.308075144604e-03      -3.074076891226e-03      -2.310542569882e-03       6.013402255337e-01       5.993656232448e-01      -2.115852314625e-09      -4.913246394686e-13      -2.160979759610e-09      -9.232315056728e-12       6.650985454147e+01      -1.385588903593e+04 
