# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0.3
# for k=1.05469e-05 to 9.11685 h/Mpc,
# number of wavenumbers equal to 270
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:vx_smg                 7:vx_prime_smg           8:d_tot                  9:phi                   10:psi                   11:t_g                   12:t_b                   13:t_ur                  14:t_tot              
       1.054685254309e-05      -1.118674873612e-03      -8.393647440184e-04      -8.393647745479e-04      -1.118659148937e-03      -8.394713972930e-04       5.240325332556e-01       5.238282299934e-01      -1.103688389026e-10      -2.639466388288e-15      -1.131150672698e-10      -5.715198114697e-14       3.177967454445e+02       3.358894347847e+02 
       1.117179284516e-05      -1.255108229517e-03      -9.417825976703e-04      -9.417826361045e-04      -1.255088434132e-03      -9.419022428074e-04       5.240324074618e-01       5.238281197754e-01      -1.389410130782e-10      -3.322862659218e-15      -1.423980549324e-10      -7.194741663624e-14       6.899144396176e+02       7.291885047751e+02 
       1.183376318815e-05      -1.408171944083e-03      -1.056697253573e-03      -1.056697301959e-03      -1.408147024390e-03      -1.056831470172e-03       5.240323101282e-01       5.238280399175e-01      -1.749091456524e-10      -4.183158134250e-15      -1.792609308078e-10      -9.057266356996e-14       1.497492131149e+03       1.582696010336e+03 
       1.253495773991e-05      -1.579890802111e-03      -1.185633521310e-03      -1.185633582223e-03      -1.579859431956e-03      -1.185784080245e-03       5.240320954825e-01       5.238278448697e-01      -2.201873630330e-10      -5.266170511712e-15      -2.256653832131e-10      -1.140189012534e-13       3.247560042942e+03       3.431892698945e+03 
       1.327770068094e-05      -1.772535738486e-03      -1.330302432732e-03      -1.330302509415e-03      -1.772496247804e-03      -1.330471319137e-03       5.240319845666e-01       5.238277559692e-01      -2.771850040654e-10      -6.629594475109e-15      -2.840807577713e-10      -1.435337742627e-13       7.014755029599e+03       7.408721799575e+03 
       1.406445390808e-05      -1.988652842426e-03      -1.492623412361e-03      -1.492623508899e-03      -1.988603130023e-03      -1.492812851252e-03       5.240317675607e-01       5.238275636466e-01      -3.489348476514e-10      -8.346000050325e-15      -3.576150244952e-10      -1.806876877632e-13       1.492635580842e+04       1.573525426667e+04 
       1.489782519471e-05      -2.231097662330e-03      -1.674750530054e-03      -1.674750651585e-03      -2.231035083136e-03      -1.674963015048e-03       5.240315361971e-01       5.238273599600e-01      -4.392541935263e-10      -1.050667434259e-14      -4.501803840805e-10      -2.274573255466e-13       3.040683155406e+04       3.189401796377e+04 
       1.578057683454e-05      -2.503071605680e-03      -1.879100459657e-03      -1.879100612654e-03      -2.502992829455e-03      -1.879338784974e-03       5.240313646739e-01       5.238272195005e-01      -5.529475769489e-10      -1.322665936063e-14      -5.667008212376e-10      -2.863306078532e-13       5.558344318377e+04       5.762700047385e+04 
       1.671563479743e-05      -2.808163616552e-03      -2.108384569812e-03      -2.108384762419e-03      -2.808064452821e-03      -2.108651865975e-03       5.240311100794e-01       5.238269997489e-01      -6.960623524619e-10      -1.665069944832e-14      -7.133736845670e-10      -3.604389384779e-13       7.990563980567e+04       8.073771636739e+04 
       1.770609842788e-05      -3.150397520682e-03      -2.365645475328e-03      -2.365645717801e-03      -3.150272694045e-03      -2.365945249063e-03       5.240308056433e-01       5.238267344163e-01      -8.762094034070e-10      -2.096147351555e-14      -8.979990325682e-10      -4.537235004213e-13       6.628702138041e+04       6.333611792259e+04 
       1.875525071809e-05      -3.534283090997e-03      -2.654296653289e-03      -2.654296958537e-03      -3.534125962056e-03      -2.654632831876e-03       5.240304535972e-01       5.238264262324e-01      -1.102967670931e-09      -2.638780391223e-14      -1.130393403508e-09      -5.711443338149e-13       3.593101246184e+04       3.492835933884e+04 
       1.986656918977e-05      -3.964874924595e-03      -2.978168254302e-03      -2.978168638577e-03      -3.964677136146e-03      -2.978545235024e-03       5.240301449472e-01       5.238261668017e-01      -1.388392007798e-09      -3.321871824419e-14      -1.422910945825e-09      -7.189437458556e-13       1.801633028417e+04       1.711274724407e+04 
       2.104373742076e-05      -4.447837241024e-03      -3.341557786860e-03      -3.341558270616e-03      -4.447588278320e-03      -3.341980491971e-03       5.240296870412e-01       5.238257640894e-01      -1.747653467412e-09      -4.181765113150e-14      -1.791098572625e-09      -9.049774763787e-13       9.630087189551e+03       8.971792105808e+03 
       2.229065725459e-05      -4.989516263985e-03      -3.749287018669e-03      -3.749287627655e-03      -4.989202893385e-03      -3.749760956453e-03       5.240292070699e-01       5.238253460197e-01      -2.199842832327e-09      -5.264184824575e-14      -2.254520223870e-09      -1.139130969430e-12       4.333535699870e+03       4.130083441139e+03 
       2.361146173358e-05      -5.597021106732e-03      -4.206765939130e-03      -4.206766705761e-03      -5.596626672384e-03      -4.207297271628e-03       5.240287515165e-01       5.238249599263e-01      -2.768982222837e-09      -6.626713825273e-14      -2.837793672358e-09      -1.433843307097e-12       1.753660821768e+03       1.633103559475e+03 
