# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=6
# for k=1.05469e-05 to 9.11685 h/Mpc,
# number of wavenumbers equal to 270
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:vx_smg                 7:vx_prime_smg           8:d_tot                  9:phi                   10:psi                   11:t_g                   12:t_b                   13:t_ur                  14:t_tot              
       1.054685254309e-05      -2.425253912153e-04      -1.819094954574e-04      -1.819094996196e-04      -2.425247966149e-04      -1.820338947288e-04       5.999121238495e-01       5.986583055982e-01      -1.033918391441e-11      -3.767993144499e-15      -1.081270995576e-11      -2.938228739659e-14       3.177967454445e+02       3.358894347847e+02 
       1.117179284516e-05      -2.721151133917e-04      -2.041057879237e-04      -2.041057931637e-04      -2.721143648373e-04      -2.042453608104e-04       5.999120256992e-01       5.986582266560e-01      -1.301616142216e-11      -4.743553928774e-15      -1.361229093590e-11      -3.698981943948e-14       6.899144396176e+02       7.291885047751e+02 
       1.183376318815e-05      -3.053145894627e-04      -2.290104316794e-04      -2.290104382760e-04      -3.053136470998e-04      -2.291670282462e-04       5.999119165219e-01       5.986581390538e-01      -1.638623796867e-11      -5.971804068703e-15      -1.713671124971e-11      -4.656703841331e-14       1.497492131149e+03       1.582696010336e+03 
       1.253495773991e-05      -3.425640857744e-04      -2.569538947037e-04      -2.569539030082e-04      -3.425628994355e-04      -2.571295903968e-04       5.999117952402e-01       5.986580415664e-01      -2.062886594336e-11      -7.517917683378e-15      -2.157363357317e-11      -5.862387473848e-14       3.247560042942e+03       3.431892698945e+03 
       1.327770068094e-05      -3.843575367741e-04      -2.883069654467e-04      -2.883069759016e-04      -3.843560432643e-04      -2.885040884992e-04       5.999116559234e-01       5.986579295998e-01      -2.596991430932e-11      -9.464407217850e-15      -2.715930129091e-11      -7.380227520475e-14       7.014755029599e+03       7.408721799575e+03 
       1.406445390808e-05      -4.312490883214e-04      -3.234856783409e-04      -3.234856915027e-04      -4.312472081267e-04      -3.237068405013e-04       5.999115024790e-01       5.986578067054e-01      -3.269379042974e-11      -1.191507425749e-14      -3.419111913296e-11      -9.291047147812e-14       1.492635580842e+04       1.573525426667e+04 
       1.489782519471e-05      -4.838604202634e-04      -3.629568284056e-04      -3.629568449751e-04      -4.838580532949e-04      -3.632049593823e-04       5.999113294128e-01       5.986576674622e-01      -4.115850796192e-11      -1.499983464855e-14      -4.304348165085e-11      -1.169657766370e-13       3.040683155406e+04       3.189401796377e+04 
       1.578057683454e-05      -5.428889711066e-04      -4.072441680703e-04      -4.072441889300e-04      -5.428859912830e-04      -4.075225541427e-04       5.999111347115e-01       5.986575114654e-01      -5.181467923615e-11      -1.888379884639e-14      -5.418770360469e-11      -1.472489677379e-13       5.558344318377e+04       5.762700047385e+04 
       1.671563479743e-05      -6.091171559408e-04      -4.569353567557e-04      -4.569353830164e-04      -6.091134046428e-04      -4.572476840471e-04       5.999109157478e-01       5.986573353342e-01      -6.522971679190e-11      -2.377257547316e-14      -6.821710572413e-11      -1.853722694723e-13       7.990563980567e+04       8.073771636739e+04 
       1.770609842788e-05      -6.834227032968e-04      -5.126897583209e-04      -5.126897913804e-04      -6.834179808357e-04      -5.130401612912e-04       5.999106717681e-01       5.986571394320e-01      -8.211781232902e-11      -2.992758950122e-14      -8.587859240446e-11      -2.333654796160e-13       6.628702138041e+04       6.333611792259e+04 
