# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=50
# for k=1.05469e-05 to 9.11685 h/Mpc,
# number of wavenumbers equal to 270
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:vx_smg                 7:vx_prime_smg           8:d_tot                  9:phi                   10:psi                   11:t_g                   12:t_b                   13:t_ur                  14:t_tot              
       1.054685254309e-05      -3.254651649872e-05      -2.441012742462e-05      -2.441012792784e-05      -3.254649763938e-05      -2.453023194345e-05       6.069665453857e-01       5.984768712660e-01      -4.813168430687e-13      -7.750216663610e-17      -4.967077825631e-13      -9.561821919919e-15       3.177967454445e+02       3.358894347847e+02 
       1.117179284516e-05      -3.651774746173e-05      -2.738861280183e-05      -2.738861343537e-05      -3.651772371915e-05      -2.752337168022e-05       6.069665071843e-01       5.984768497662e-01      -6.059413999127e-13      -9.757393734762e-17      -6.253174847512e-13      -1.203760975120e-14       6.899144396176e+02       7.291885047751e+02 
       1.183376318815e-05      -4.097352926429e-05      -3.073052740220e-05      -3.073052819978e-05      -4.097349937429e-05      -3.088172858107e-05       6.069664486980e-01       5.984768097897e-01      -7.628342732616e-13      -1.228404065901e-16      -7.872271644640e-13      -1.515443714405e-14       1.497492131149e+03       1.582696010336e+03 
       1.253495773991e-05      -4.597298136259e-05      -3.448021498476e-05      -3.448021598886e-05      -4.597294373331e-05      -3.464986451981e-05       6.069663517146e-01       5.984767320223e-01      -9.603504324573e-13      -1.546419835094e-16      -9.910592132703e-13      -1.907828491590e-14       3.247560042942e+03       3.431892698945e+03 
       1.327770068094e-05      -5.158244133513e-05      -3.868743397930e-05      -3.868743524338e-05      -5.158239396274e-05      -3.887778266376e-05       6.069662632583e-01       5.984766663871e-01      -1.209008083689e-12      -1.946835193763e-16      -1.247668006434e-12      -2.401810769373e-14       7.014755029599e+03       7.408721799575e+03 
       1.406445390808e-05      -5.787633646510e-05      -4.340801145240e-05      -4.340801304379e-05      -5.787627682690e-05      -4.362158465251e-05       6.069661779873e-01       5.984766065463e-01      -1.522048884118e-12      -2.450926144176e-16      -1.570718645871e-12      -3.023696319348e-14       1.492635580842e+04       1.573525426667e+04 
       1.489782519471e-05      -6.493817360759e-05      -4.870458585951e-05      -4.870458786294e-05      -6.493809852775e-05      -4.894421699814e-05       6.069660851623e-01       5.984765423704e-01      -1.916143016195e-12      -3.085540728327e-16      -1.977414281068e-12      -3.806601997535e-14       3.040683155406e+04       3.189401796377e+04 
       1.578057683454e-05      -7.286164761693e-05      -5.464743880819e-05      -5.464744133036e-05      -7.286155309727e-05      -5.491630693304e-05       6.069659784461e-01       5.984764678272e-01      -2.412276878374e-12      -3.884458943359e-16      -2.489412405617e-12      -4.792219298477e-14       5.558344318377e+04       5.762700047385e+04 
       1.671563479743e-05      -8.175188464089e-05      -6.131542808623e-05      -6.131543126146e-05      -8.175176564809e-05      -6.161710001860e-05       6.069658586823e-01       5.984763840203e-01      -3.036870706854e-12      -4.890240932442e-16      -3.133977929683e-12      -6.033034462026e-14       7.990563980567e+04       8.073771636739e+04 
       1.770609842788e-05      -9.172683835561e-05      -6.879703553960e-05      -6.879703953694e-05      -9.172668855336e-05      -6.913551316635e-05       6.069657433952e-01       5.984763097502e-01      -3.823185264926e-12      -6.156695684863e-16      -3.945434910846e-12      -7.595123354031e-14       6.628702138041e+04       6.333611792259e+04 
