# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0.5
# for k=1.05469e-05 to 9.11685 h/Mpc,
# number of wavenumbers equal to 270
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:vx_smg                 7:vx_prime_smg           8:d_tot                  9:phi                   10:psi                   11:t_g                   12:t_b                   13:t_ur                  14:t_tot              
       1.054685254309e-05      -1.011146812081e-03      -7.586475694422e-04      -7.586475980352e-04      -1.011133541501e-03      -7.587588091723e-04       5.428562417194e-01       5.426107431115e-01      -9.365197595117e-11      -2.906738238698e-15      -9.617698923254e-11      -5.604862841167e-14       3.177967454445e+02       3.358894347847e+02 
       1.117179284516e-05      -1.134472743729e-03      -8.512164410754e-04      -8.512164770716e-04      -1.134456037654e-03      -8.513412339577e-04       5.428561164610e-01       5.426106344817e-01      -1.178969731145e-10      -3.659340218205e-15      -1.210755742572e-10      -7.055871203063e-14       6.899144396176e+02       7.291885047751e+02 
       1.183376318815e-05      -1.272833098019e-03      -9.550803964239e-04      -9.550804417400e-04      -1.272812067225e-03      -9.552203909789e-04       5.428560127157e-01       5.426105493828e-01      -1.484180256887e-10      -4.606757987881e-15      -1.524193499503e-10      -8.882486018124e-14       1.497492131149e+03       1.582696010336e+03 
       1.253495773991e-05      -1.428058718493e-03      -1.071617555459e-03      -1.071617612508e-03      -1.428032243708e-03      -1.071774599995e-03       5.428558127240e-01       5.426103703068e-01      -1.868394927858e-10      -5.799435535464e-15      -1.918764168634e-10      -1.118192070598e-13       3.247560042942e+03       3.431892698945e+03 
       1.327770068094e-05      -1.602203283299e-03      -1.202374454705e-03      -1.202374526525e-03      -1.602169954974e-03      -1.202550621387e-03       5.428556912277e-01       5.426102723116e-01      -2.352060263722e-10      -7.300936872394e-15      -2.415466182080e-10      -1.407654627314e-13       7.014755029599e+03       7.408721799575e+03 
       1.406445390808e-05      -1.797569323879e-03      -1.349085895695e-03      -1.349085986109e-03      -1.797527368536e-03      -1.349283507352e-03       5.428554609729e-01       5.426100684045e-01      -2.960913909608e-10      -9.191172671609e-15      -3.040728732404e-10      -1.772039150955e-13       1.492635580842e+04       1.573525426667e+04 
       1.489782519471e-05      -2.016739511636e-03      -1.513698830260e-03      -1.513698944082e-03      -2.016686696745e-03      -1.513920490490e-03       5.428552523524e-01       5.426098893248e-01      -3.727352055022e-10      -1.157066413438e-14      -3.827820923362e-10      -2.230733866998e-13       3.040683155406e+04       3.189401796377e+04 
       1.578057683454e-05      -2.262609576312e-03      -1.698397577395e-03      -1.698397720687e-03      -2.262543090939e-03      -1.698646204101e-03       5.428550518519e-01       5.426097219755e-01      -4.692150112882e-10      -1.456612567995e-14      -4.818616952525e-10      -2.808142056279e-13       5.558344318377e+04       5.762700047385e+04 
       1.671563479743e-05      -2.538425909062e-03      -1.905632693270e-03      -1.905632873660e-03      -2.538342216114e-03      -1.905911556086e-03       5.428547898447e-01       5.426094971563e-01      -5.906632277631e-10      -1.833697375137e-14      -6.065820827071e-10      -3.534979338618e-13       7.990563980567e+04       8.073771636739e+04 
       1.770609842788e-05      -2.847828790815e-03      -2.138154228684e-03      -2.138154455777e-03      -2.847723437368e-03      -2.138466990871e-03       5.428545069016e-01       5.426092559555e-01      -7.435394535345e-10      -2.308436050526e-14      -7.635768908138e-10      -4.449905702089e-13       6.628702138041e+04       6.333611792259e+04 
       1.875525071809e-05      -3.194898554575e-03      -2.399047406708e-03      -2.399047692595e-03      -3.194765936108e-03      -2.399398171731e-03       5.428541798643e-01       5.426089757387e-01      -9.359738965492e-10      -2.906033005020e-14      -9.611949344085e-10      -5.601576741357e-13       3.593101246184e+04       3.492835933884e+04 
       1.986656918977e-05      -3.584209087683e-03      -2.691774075600e-03      -2.691774435502e-03      -3.584042149427e-03      -2.692167439128e-03       5.428538046922e-01       5.426086531064e-01      -1.178198561777e-09      -3.658318965444e-14      -1.209943618406e-09      -7.051228729107e-13       1.801633028417e+04       1.711274724407e+04 
       2.104373742076e-05      -4.020886616262e-03      -3.020218469944e-03      -3.020218923018e-03      -4.020676481920e-03      -3.020659577701e-03       5.428533872047e-01       5.426082945331e-01      -1.483091013484e-09      -4.605314692655e-14      -1.523046376170e-09      -8.875928632453e-13       9.630087189551e+03       8.971792105808e+03 
       2.229065725459e-05      -4.510675441703e-03      -3.388738610318e-03      -3.388739180680e-03      -4.510410939122e-03      -3.389233222417e-03       5.428529130125e-01       5.426078864186e-01      -1.866856725057e-09      -5.797381389904e-14      -1.917144154956e-09      -1.117266010159e-12       4.333535699870e+03       4.130083441139e+03 
       2.361146173358e-05      -5.060011875731e-03      -3.802224400194e-03      -3.802225118203e-03      -5.059678943130e-03      -3.802778962647e-03       5.428524033112e-01       5.426074508599e-01      -2.349888132239e-09      -7.297956878116e-14      -2.413177675627e-09      -1.406346589911e-12       1.753660821768e+03       1.633103559475e+03 
       2.501052879817e-05      -5.676106309066e-03      -4.266162501653e-03      -4.266163405545e-03      -5.675687245402e-03      -4.266784225720e-03       5.428518132109e-01       5.426069439624e-01      -2.957845377312e-09      -9.187053683668e-14      -3.037496930287e-09      -1.770191721303e-12       5.857944310526e+02       5.327866548303e+02 
       2.649249579812e-05      -6.367034052977e-03      -4.786708666748e-03      -4.786709804623e-03      -6.366506596460e-03      -4.787405616707e-03       5.428511532949e-01       5.426063773283e-01      -3.723018326602e-09      -1.156489215473e-13      -3.823256454776e-09      -2.228124751400e-12       1.100158817768e+02       9.597754355737e+01 
       2.806227486340e-05      -7.141837933783e-03      -5.370769918243e-03      -5.370771350666e-03      -7.141174058573e-03      -5.371551108621e-03       5.428504069997e-01       5.426057356939e-01      -4.686028979383e-09      -1.455807843523e-13      -4.812169938088e-09      -2.804457004905e-12       1.544890283833e+01       1.337777373821e+01 
       2.972506918601e-05      -8.010641446026e-03      -6.026096069383e-03      -6.026097872573e-03      -8.009805900787e-03      -6.026971572162e-03       5.428495928571e-01       5.426050389126e-01      -5.897987596004e-09      -1.832566524591e-13      -6.056715890306e-09      -3.529775139415e-12       1.990011469780e+00       1.714592938845e+00 
       3.148639026643e-05      -8.984774294015e-03      -6.761382172662e-03      -6.761384442598e-03      -8.983722709964e-03      -6.762363235360e-03       5.428486507207e-01       5.426042284410e-01      -7.423185256810e-09      -2.306810181212e-13      -7.622909735027e-09      -4.442555164676e-12      -1.235608942232e+05       5.004868099363e-02 
       3.335207618210e-05      -1.007691309911e-02      -7.586384560981e-03      -7.586387418432e-03      -1.007558967049e-02      -7.587483736296e-03       5.428476105399e-01       5.426033359155e-01      -9.342495985959e-09      -2.903747225639e-13      -9.593788890328e-09      -5.591195936085e-12       7.455958967518e+01      -7.900850190527e+04 
       3.532831093829e-05      -1.130123539808e-02      -8.512049471892e-03      -8.512053068926e-03      -1.129956990591e-02      -8.513280759658e-03       5.428464467174e-01       5.426023377107e-01      -1.175763381358e-08      -3.655113597023e-13      -1.207378940565e-08      -7.036568724615e-12       6.846402171312e-02       7.395205073977e+01 
       3.742164496560e-05      -1.267359230322e-02      -9.550659146156e-03      -9.550663674118e-03      -1.267149644958e-02      -9.552038148111e-03       5.428451286543e-01       5.426012053258e-01      -1.479652123915e-08      -4.600799422887e-13      -1.519424579385e-08      -8.855226299743e-12       0.000000000000e+00       8.088283775289e-02 
       3.963901683208e-05      -1.421169675029e-02      -1.071599376219e-02      -1.071599946194e-02      -1.420905946274e-02      -1.071753785006e-02       5.428436561834e-01       5.425999410783e-01      -1.862000177446e-08      -5.791071113234e-13      -1.912029725630e-08      -1.114342543102e-11       8.484344206271e+01      -1.026974925032e+05 
       4.198777624174e-05      -1.593533333634e-02      -1.202351499014e-02      -1.202352216479e-02      -1.593201492535e-02      -1.202524348722e-02       5.428420026615e-01       5.425985210227e-01      -2.343030060868e-08      -7.289075352113e-13      -2.405955672175e-08      -1.402218378231e-11       1.053000159491e-01       7.767506124067e+01 
       4.447570839598e-05      -1.786658753224e-02      -1.349057073775e-02      -1.349057976896e-02      -1.786241233347e-02      -1.349250511395e-02       5.428401504197e-01       5.425969305523e-01      -2.948161872697e-08      -9.174470167518e-13      -3.027299192720e-08      -1.764362587694e-11       1.367325986073e+04       1.241261441975e-01 
       4.711105979834e-05      -2.003009745804e-02      -1.513662529547e-02      -1.513663666332e-02      -2.002484466829e-02      -1.513878937465e-02       5.428380696537e-01       5.425951432166e-01      -3.709345023278e-08      -1.154708594569e-12      -3.808857530966e-08      -2.219893955576e-11       6.650985454147e+01      -1.385588903593e+04 
       4.990256558844e-05      -2.245332932237e-02      -1.698351764478e-02      -1.698353195351e-02      -2.244672136840e-02      -1.698593782409e-02       5.428357394317e-01       5.425931418913e-01      -4.666724816425e-08      -1.453275039727e-12      -4.791840129181e-08      -2.792836069528e-11       1.668942100220e-01       5.259746356886e+01 
       5.285947849546e-05      -2.516687603438e-02      -1.905575050434e-02      -1.905576851438e-02      -2.515856406171e-02      -1.905845598260e-02       5.428331248941e-01       5.425908959904e-01      -5.870733325299e-08      -1.828990777561e-12      -6.028013788099e-08      -3.513368362312e-11       8.166275341210e+03       1.967708993324e-01 
       5.599159950724e-05      -2.820478268589e-02      -2.138081602111e-02      -2.138083868937e-02      -2.819432829307e-02      -2.138383903339e-02       5.428301933666e-01       5.425883775836e-01      -7.384710122569e-08      -2.301748606551e-12      -7.582390184998e-08      -4.419393218202e-11       2.517085498683e+01       1.665456973935e+02 
       5.930931035668e-05      -3.160489525729e-02      -2.398955974269e-02      -2.398958827343e-02      -3.159174769420e-02      -2.399293579629e-02       5.428269028675e-01       5.425855499831e-01      -9.288182670093e-08      -2.896595904837e-12      -9.536590055400e-08      -5.558499457707e-11       2.655031697220e-01       1.136710654809e+01 
       6.282360793301e-05      -3.540923496591e-02      -2.691658976950e-02      -2.691662567784e-02      -3.539270257245e-02      -2.692035787422e-02       5.428232137108e-01       5.425823794032e-01      -1.168097070439e-07      -3.645001562698e-12      -1.199305200522e-07      -6.990417116295e-11       2.690448018427e+03       3.153426071411e-01 
       6.654614073212e-05      -3.966439555759e-02      -3.020073555880e-02      -3.020078075076e-02      -3.964360993296e-02      -3.020493844283e-02       5.428190754399e-01       5.425788219679e-01      -1.468831694985e-07      -4.586506042165e-12      -1.508029339381e-07      -8.790086993055e-11       9.334938994401e-02       1.075797061718e+03 
       7.048924746667e-05      -4.442196069576e-02      -3.388556251582e-02      -3.388561938922e-02      -4.439583191739e-02      -3.389024681476e-02       5.428144336563e-01       5.425748306227e-01      -1.846729658365e-07      -5.770864651075e-12      -1.895948094856e-07      -1.105149615325e-10       4.438828459335e-01       6.299157344246e-01 
       7.466599796401e-05      -4.973893791914e-02      -3.801994940332e-02      -3.802002097543e-02      -4.970609815100e-02      -3.802516580658e-02       5.428092301105e-01       5.425703553034e-01      -2.321481301779e-07      -7.260580736317e-12      -2.383262846632e-07      -1.389246074242e-10      -7.027049469306e+01       5.591428756463e-01 
       7.909023648746e-05      -5.567820048772e-02      -4.265873619774e-02      -4.265882626175e-02      -5.563693493346e-02      -4.266453952625e-02       5.428033947660e-01       5.425653350131e-01      -2.917758478834e-07      -9.134111398389e-12      -2.995281269877e-07      -1.746059488854e-10       4.282285505671e-02       8.862760736347e+00 
