# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.494403230428e-10       7.315255032648e-15       4.820653044731e-13       2.389541982411e-19       8.899389736991e-09       4.879130428436e-10      -2.513521431541e-12 
    3       1.408259477650e-10       1.238678606275e-14       6.064281767045e-13       4.781390951241e-19       5.433446197626e-09       3.466906200111e-10      -2.211231949942e-12 
    4       1.323537120937e-10       1.446359253677e-14       6.273191378520e-13       7.974030721917e-19       3.759385827861e-09       2.634429328862e-10      -1.764012621815e-12 
    5       1.256439198789e-10       1.337727328089e-14       5.875002817540e-13       1.197031541031e-18       2.796793172620e-09       2.088134192916e-10      -1.309402795484e-12 
    6       1.207006581752e-10       1.032313332231e-14       5.169915206726e-13       1.677362908537e-18       2.178869979092e-09       1.703675279266e-10      -8.948042835169e-13 
    7       1.172270902827e-10       6.842899601167e-15       4.361966092764e-13       2.238777418024e-18       1.753748511793e-09       1.420095873476e-10      -5.443789344531e-13 
    8       1.149030501740e-10       4.044723775167e-15       3.573938699278e-13       2.881684780772e-18       1.446454095036e-09       1.203520480397e-10      -2.689073494208e-13 
    9       1.134840764158e-10       2.339584344737e-15       2.878519852784e-13       3.606511085456e-18       1.215778588718e-09       1.033589443692e-10      -7.004096756894e-14 
   10       1.127554316036e-10       1.575763994031e-15       2.316262904541e-13       4.413685499876e-18       1.037473918834e-09       8.976792718951e-11       5.752365560903e-14 
   11       1.125775012851e-10       1.351009176544e-15       1.904203075994e-13       5.303627285460e-18       8.886918179409e-10       7.950450882698e-11       1.233840822173e-13 
   12       1.128415339870e-10       1.294508577236e-15       1.639366249997e-13       6.276733630009e-18       7.765295302522e-10       7.028204838125e-11       1.421785057020e-13 
   13       1.134275161583e-10       1.207999520623e-15       1.504230054068e-13       7.333368768646e-18       6.844576600868e-10       6.274523694895e-11       1.277247698099e-13 
   14       1.142370402799e-10       1.063277979704e-15       1.473067584932e-13       8.473854808373e-18       6.078517436828e-10       5.620884306395e-11       9.278650604864e-14 
   15       1.152761647694e-10       9.202623322462e-16       1.515764495201e-13       9.698464600297e-18       5.433702540159e-10       5.074694242951e-11       4.960475879730e-14 
   16       1.165060546604e-10       8.404139183640e-16       1.602035911636e-13       1.100741691828e-17       4.885461484761e-10       4.611727559220e-11       7.263364155139e-15 
   17       1.178440246594e-10       8.411673141338e-16       1.706704855039e-13       1.240087410708e-17       4.415160341461e-10       4.212051396642e-11      -2.790444254623e-14 
   18       1.192850607907e-10       8.974129711188e-16       1.812133430241e-13       1.387894226076e-17       4.008506797939e-10       3.859171424424e-11      -5.238554572559e-14 
   19       1.208628724660e-10       9.694285029095e-16       1.906663750201e-13       1.544167388752e-17       3.654378698975e-10       3.544065458743e-11      -6.516278392616e-14 
   20       1.225100564379e-10       1.031080880841e-15       1.984434551579e-13       1.708907291440e-17       3.344024098698e-10       3.267448592764e-11      -6.707331776280e-14 
   21       1.242056185879e-10       1.081578219216e-15       2.046211016212e-13       1.882110178876e-17       3.070460577711e-10       3.022793795621e-11      -6.045169052369e-14 
   22       1.260145060522e-10       1.139337189263e-15       2.095475738417e-13       2.063769034655e-17       2.828062925916e-10       2.802761173113e-11      -4.836116165111e-14 
   23       1.278402451457e-10       1.227162167015e-15       2.137385311985e-13       2.253874604491e-17       2.612250054041e-10       2.601651082206e-11      -3.403736224356e-14 
   24       1.297389766617e-10       1.359530280761e-15       2.177478701713e-13       2.452416509993e-17       2.419266253356e-10       2.417475062773e-11      -2.038766042079e-14 
   25       1.316538471074e-10       1.538417128591e-15       2.220841194491e-13       2.659384403300e-17       2.246001992815e-10       2.254187431134e-11      -9.406085479747e-15 
   26       1.336271773887e-10       1.757203341085e-15       2.271215242917e-13       2.874769111243e-17       2.089862673273e-10       2.109218735677e-11      -2.291819656701e-15 
   27       1.356842517043e-10       2.007607721312e-15       2.328070008906e-13       3.098563718126e-17       1.948669446529e-10       1.977429623398e-11       6.364002602958e-16 
   28       1.376804164057e-10       2.284848297285e-15       2.390769499245e-13       3.330764538743e-17       1.820579118555e-10       1.855757226679e-11      -1.927924479551e-16 
   29       1.397884934101e-10       2.588743275629e-15       2.455951403325e-13       3.571371937823e-17       1.704025905035e-10       1.745353486910e-11      -3.810594640864e-15 
   30       1.418821916626e-10       2.920561101999e-15       2.519560766779e-13       3.820390958451e-17       1.597671401470e-10       1.644875446857e-11      -9.171842654124e-15 
   31       1.439973685597e-10       3.279818872575e-15       2.578441005187e-13       4.077831729980e-17       1.500382667824e-10       1.552033399239e-11      -1.513280468862e-14 
   32       1.462320538788e-10       3.664163398835e-15       2.624599869369e-13       4.343709635143e-17       1.411166784870e-10       1.468632224022e-11      -2.022596345164e-14 
   33       1.483726673441e-10       4.070501359011e-15       2.655035144283e-13       4.618045226140e-17       1.329161456644e-10       1.391789993840e-11      -2.358213256198e-14 
   34       1.506146528835e-10       4.496983965567e-15       2.668286037447e-13       4.900863890058e-17       1.253613461287e-10       1.320123101539e-11      -2.482525498745e-14 
   35       1.528894607360e-10       4.944703419031e-15       2.661115307030e-13       5.192195274517e-17       1.183882516076e-10       1.248564306344e-11      -2.450879688935e-14 
   36       1.551036992522e-10       5.417603133941e-15       2.636606837614e-13       5.492072494661e-17       1.119397698221e-10       1.185463343125e-11      -2.233476568627e-14 
   37       1.574587504285e-10       5.921118186394e-15       2.594710899448e-13       5.800531151973e-17       1.059648683449e-10       1.129631115309e-11      -1.878724586421e-14 
   38       1.597746706365e-10       6.460000864285e-15       2.535666394162e-13       6.117608203561e-17       1.004188150532e-10       1.074780538142e-11      -1.495429849338e-14 
   39       1.621014676048e-10       7.037041689176e-15       2.463698489762e-13       6.443340727201e-17       9.526355861719e-11       1.021740532103e-11      -1.144663359194e-14 
   40       1.645276109406e-10       7.653016175875e-15       2.378021001489e-13       6.777764632235e-17       9.046340430587e-11       9.749584489887e-12      -8.354708973943e-15 
   41       1.668760190130e-10       8.307265606898e-15       2.280891390747e-13       7.120913369214e-17       8.598667742300e-11       9.316909778592e-12      -6.283284038358e-15 
   42       1.693042407301e-10       8.998616976489e-15       2.175219025580e-13       7.472816691811e-17       8.180664490885e-11       8.887555317950e-12      -5.725794050780e-15 
   43       1.718073790245e-10       9.726090400820e-15       2.057214113544e-13       7.833499522994e-17       7.789803860805e-11       8.505143957544e-12      -5.910870097882e-15 
   44       1.742158080593e-10       1.049014415627e-14       1.926431143910e-13       8.202980973773e-17       7.423783786257e-11       8.141690319604e-12      -6.883570175638e-15 
   45       1.767021919349e-10       1.129211943405e-14       1.782928960051e-13       8.581273557161e-17       7.080698993148e-11       7.784290785787e-12      -8.645161758284e-15 
   46       1.792161872440e-10       1.213170564932e-14       1.622992807203e-13       8.968382859751e-17       6.758597084795e-11       7.468592664897e-12      -1.026958353677e-14 
   47       1.817532910405e-10       1.300871051180e-14       1.445225302259e-13       9.364306106711e-17       6.456067368302e-11       7.185145064495e-12      -1.145094235031e-14 
   48       1.843364224814e-10       1.392302373585e-14       1.249099078822e-13       9.769034435058e-17       6.171401519913e-11       6.910208633263e-12      -1.212736430784e-14 
   49       1.869325427596e-10       1.487443124413e-14       1.033817682951e-13       1.018255073756e-16       5.903414159080e-11       6.638748037495e-12      -1.226868982665e-14 
   50       1.895071529107e-10       1.586286941932e-14       7.986036183613e-14       1.060483155267e-16       5.650739665409e-11       6.372388551628e-12      -1.186392105901e-14 
   51       1.921078395515e-10       1.688932559654e-14       5.431917520743e-14       1.103584756312e-16       5.412393676056e-11       6.120392544775e-12      -1.093680018694e-14 
   52       1.947856717771e-10       1.795494054753e-14       2.678668932590e-14       1.147556415302e-16       5.187242415090e-11       5.891271662171e-12      -9.566639603945e-15 
   53       1.974901342232e-10       1.906000905893e-14      -2.546851639034e-15       1.192394379094e-16       4.974464350102e-11       5.678495919280e-12      -8.004840269295e-15 
   54       2.001625885134e-10       2.020446030052e-14      -3.348052572718e-14       1.238094538055e-16       4.773120576185e-11       5.472696179331e-12      -6.548917106175e-15 
   55       2.028579198854e-10       2.138779143757e-14      -6.604455708525e-14       1.284652849153e-16       4.582517373042e-11       5.274428626543e-12      -5.390158943824e-15 
