# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=5
# for k=1.05469e-05 to 9.11685 h/Mpc,
# number of wavenumbers equal to 270
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:vx_smg                 7:vx_prime_smg           8:d_tot                  9:phi                   10:psi                   11:t_g                   12:t_b                   13:t_ur                  14:t_tot              
       1.054685254309e-05      -2.827735857703e-04      -2.121011998029e-04      -2.121012058504e-04      -2.827726437881e-04      -2.122255557490e-04       5.991505294186e-01       5.980749566428e-01      -1.303256605759e-11      -4.095225047761e-15      -1.365100506698e-11      -3.178232887556e-14       3.177967454445e+02       3.358894347847e+02 
       1.117179284516e-05      -3.172733085931e-04      -2.379814319144e-04      -2.379814395278e-04      -3.172721227148e-04      -2.381209554220e-04       5.991504276364e-01       5.980748740961e-01      -1.640688200436e-11      -5.155520458136e-15      -1.718544291342e-11      -4.001122077467e-14       6.899144396176e+02       7.291885047751e+02 
       1.183376318815e-05      -3.559816326367e-04      -2.670195234222e-04      -2.670195330068e-04      -3.559801397228e-04      -2.671760636195e-04       5.991503161600e-01       5.980747842048e-01      -2.065483650413e-11      -6.490396216825e-15      -2.163497264500e-11      -5.037064744704e-14       1.497492131149e+03       1.582696010336e+03 
       1.253495773991e-05      -3.994118244018e-04      -2.996007888952e-04      -2.996008009613e-04      -3.994099449768e-04      -2.997764201249e-04       5.991501904203e-01       5.980746823978e-01      -2.600262120026e-11      -8.170789975147e-15      -2.723650973819e-11      -6.341218844644e-14       3.247560042942e+03       3.431892698945e+03 
       1.327770068094e-05      -4.481397094245e-04      -3.361575565275e-04      -3.361575717179e-04      -4.481373433766e-04      -3.363546057199e-04       5.991500458302e-01       5.980745651477e-01      -3.273493893163e-11      -1.028635596403e-14      -3.428829943605e-11      -7.983020504573e-14       7.014755029599e+03       7.408721799575e+03 
       1.406445390808e-05      -5.028112984066e-04      -3.771749122786e-04      -3.771749314021e-04      -5.028083197686e-04      -3.773959896405e-04       5.991498879317e-01       5.980744377979e-01      -4.121026616625e-11      -1.294975620569e-14      -4.316579762895e-11      -1.004988811476e-13       1.492635580842e+04       1.573525426667e+04 
       1.489782519471e-05      -5.641513113568e-04      -4.231971237550e-04      -4.231971478295e-04      -5.641475615689e-04      -4.234451571609e-04       5.991497101173e-01       5.980742939401e-01      -5.187985527619e-11      -1.630237837191e-14      -5.434165213587e-11      -1.265185989009e-13       3.040683155406e+04       3.189401796377e+04 
       1.578057683454e-05      -6.329727662295e-04      -4.748348702198e-04      -4.748349005280e-04      -6.329680455572e-04      -4.751131437629e-04       5.991495087948e-01       5.980741312714e-01      -6.531168309985e-11      -2.052354198311e-14      -6.841086148057e-11      -1.592746718254e-13       5.558344318377e+04       5.762700047385e+04 
       1.671563479743e-05      -7.101877154030e-04      -5.327733440935e-04      -5.327733822488e-04      -7.101817725634e-04      -5.330855412801e-04       5.991492811167e-01       5.980739465430e-01      -8.222091547691e-11      -2.583702536651e-14      -8.612244112434e-11      -2.005109342869e-13       7.990563980567e+04       8.073771636739e+04 
       1.770609842788e-05      -7.968192948814e-04      -5.977813487800e-04      -5.977813968140e-04      -7.968118135253e-04      -5.981316009332e-04       5.991490307738e-01       5.980737443701e-01      -1.035077281804e-10      -3.252628614526e-14      -1.084192840708e-10      -2.524227245173e-13       6.628702138041e+04       6.333611792259e+04 
