# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0.6
# for k=1.05469e-05 to 9.11685 h/Mpc,
# number of wavenumbers equal to 270
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:vx_smg                 7:vx_prime_smg           8:d_tot                  9:phi                   10:psi                   11:t_g                   12:t_b                   13:t_ur                  14:t_tot              
       1.054685254309e-05      -9.630178501160e-04      -7.225221902604e-04      -7.225222179096e-04      -9.630056288425e-04      -7.226352007674e-04       5.501502088523e-01       5.498843752990e-01      -8.660221290747e-11      -3.027110473448e-15      -8.902535521658e-11      -5.532995902901e-14       3.177967454445e+02       3.358894347847e+02 
       1.117179284516e-05      -1.080476391139e-03      -8.106830998684e-04      -8.106831346765e-04      -1.080461005982e-03      -8.108098804077e-04       5.501500818444e-01       5.498842653272e-01      -1.090223256422e-10      -3.810879729780e-15      -1.120727002000e-10      -6.965411094417e-14       6.899144396176e+02       7.291885047751e+02 
       1.183376318815e-05      -1.212254804860e-03      -9.096012602384e-04      -9.096013040588e-04      -1.212235436884e-03      -9.097434860071e-04       5.501499747175e-01       5.498841772962e-01      -1.372461856989e-10      -4.797535764387e-15      -1.410861126570e-10      -8.768624948248e-14       1.497492131149e+03       1.582696010336e+03 
       1.253495773991e-05      -1.360097037019e-03      -1.020589120898e-03      -1.020589176063e-03      -1.360072655418e-03      -1.020748670182e-03       5.501497809571e-01       5.498840049644e-01      -1.727759339887e-10      -6.039603522634e-15      -1.776097148623e-10      -1.103860795159e-13       3.247560042942e+03       3.431892698945e+03 
       1.327770068094e-05      -1.525959497636e-03      -1.145119641605e-03      -1.145119711054e-03      -1.525928804267e-03      -1.145298620287e-03       5.501496546763e-01       5.498839027546e-01      -2.175024057128e-10      -7.603295906384e-15      -2.235873143355e-10      -1.389616870244e-13       7.014755029599e+03       7.408721799575e+03 
       1.406445390808e-05      -1.712035540893e-03      -1.284844953348e-03      -1.284845040778e-03      -1.711996902420e-03      -1.285045722162e-03       5.501494295725e-01       5.498837046417e-01      -2.738057619029e-10      -9.571814204015e-15      -2.814654442229e-10      -1.749336946036e-13       1.492635580842e+04       1.573525426667e+04 
       1.489782519471e-05      -1.920785591239e-03      -1.441619331378e-03      -1.441619441444e-03      -1.920736951556e-03      -1.441844536568e-03       5.501492177800e-01       5.498835231079e-01      -3.446819543688e-10      -1.204985672455e-14      -3.543238411210e-10      -2.202161947527e-13       3.040683155406e+04       3.189401796377e+04 
       1.578057683454e-05      -2.154968374651e-03      -1.617523094090e-03      -1.617523232652e-03      -2.154907144910e-03      -1.617775701544e-03       5.501490257737e-01       5.498833650571e-01      -4.339018668669e-10      -1.516938774304e-14      -4.460388553548e-10      -2.772184096643e-13       5.558344318377e+04       5.762700047385e+04 
       1.671563479743e-05      -2.417676728869e-03      -1.814890061991e-03      -1.814890236427e-03      -2.417599651413e-03      -1.815173395353e-03       5.501487499227e-01       5.498831272994e-01      -5.462119921744e-10      -1.909642836860e-14      -5.614894208814e-10      -3.489727862717e-13       7.990563980567e+04       8.073771636739e+04 
       1.770609842788e-05      -2.712379022626e-03      -2.036339374968e-03      -2.036339594566e-03      -2.712281996302e-03      -2.036657158316e-03       5.501484675812e-01       5.498828877183e-01      -6.875862551899e-10      -2.404046125189e-14      -7.068165235855e-10      -4.392961320574e-13       6.628702138041e+04       6.333611792259e+04 
       1.875525071809e-05      -3.042963000789e-03      -2.284809326996e-03      -2.284809603448e-03      -3.042840863700e-03      -2.285165732307e-03       5.501481406987e-01       5.498826087972e-01      -8.655437170722e-10      -3.026397792343e-14      -8.897490696048e-10      -5.529921689215e-13       3.593101246184e+04       3.492835933884e+04 
       1.986656918977e-05      -3.413786924304e-03      -2.563596915296e-03      -2.563597263320e-03      -3.413633178775e-03      -2.563996615449e-03       5.501477692768e-01       5.498822911986e-01      -1.089547361144e-09      -3.809849592049e-14      -1.120014420560e-09      -6.961067893001e-13       1.801633028417e+04       1.711274724407e+04 
       2.104373742076e-05      -3.829735659677e-03      -2.876401413979e-03      -2.876401852101e-03      -3.829542130259e-03      -2.876849641762e-03       5.501473464537e-01       5.498819287276e-01      -1.371507162152e-09      -4.796072799134e-14      -1.409854582835e-09      -8.762490023464e-13       9.630087189551e+03       8.971792105808e+03 
       2.229065725459e-05      -4.296283434451e-03      -3.227373328830e-03      -3.227373880370e-03      -4.296039830844e-03      -3.227875942586e-03       5.501468752631e-01       5.498815252261e-01      -1.726411185365e-09      -6.037529842927e-14      -1.774675700911e-09      -1.102994431765e-12       4.333535699870e+03       4.130083441139e+03 
       2.361146173358e-05      -4.819564510823e-03      -3.621169785487e-03      -3.621170479801e-03      -4.819257881004e-03      -3.621733342133e-03       5.501463527821e-01       5.498810786925e-01      -2.173120335396e-09      -7.600285019413e-14      -2.233865099627e-09      -1.388393144068e-12       1.753660821768e+03       1.633103559475e+03 
       2.501052879817e-05      -5.406451264463e-03      -4.063016081772e-03      -4.063016955836e-03      -5.406065303898e-03      -4.063647917848e-03       5.501457643136e-01       5.498805754617e-01      -2.735368156820e-09      -9.567660304122e-14      -2.811818700635e-09      -1.747608576123e-12       5.857944310526e+02       5.327866548303e+02 
       2.649249579812e-05      -6.064641392595e-03      -4.558774877452e-03      -4.558775977777e-03      -6.064155595439e-03      -4.559483198886e-03       5.501451023939e-01       5.498800091022e-01      -3.443021192547e-09      -1.204403776495e-13      -3.539233314508e-09      -2.199720989720e-12       1.100158817768e+02       9.597754355737e+01 
       2.806227486340e-05      -6.802755781035e-03      -5.115024307637e-03      -5.115025692793e-03      -6.802144331222e-03      -5.115818289245e-03       5.501443578283e-01       5.498793717588e-01      -4.333653636693e-09      -1.516127686980e-13      -4.454731525822e-09      -2.768736506695e-12       1.544890283833e+01       1.337777373821e+01 
       2.972506918601e-05      -7.630446780017e-03      -5.739145185157e-03      -5.739146928846e-03      -7.629677204795e-03      -5.740035080476e-03       5.501435377474e-01       5.498786719085e-01      -5.454542964673e-09      -1.908502786652e-13      -5.606904851132e-09      -3.484858960433e-12       1.990011469780e+00       1.714592938845e+00 
       3.148639026643e-05      -8.558518194438e-03      -6.439418461408e-03      -6.439420656446e-03      -8.557549620500e-03      -6.440415723794e-03       5.501425880355e-01       5.498778570890e-01      -6.865161162680e-09      -2.402405020147e-13      -7.056881520695e-09      -4.386084234334e-12      -1.235608942232e+05       5.004868099363e-02 
       3.335207618210e-05      -9.599060317900e-03      -7.225135971042e-03      -7.225138734213e-03      -9.597841334434e-03      -7.226253386848e-03       5.501415468167e-01       5.498769671458e-01      -8.640323592549e-09      -3.024091692114e-13      -8.881555042162e-09      -5.520209444224e-12       7.455958967518e+01      -7.900850190527e+04 
       3.532831093829e-05      -1.076559720896e-02      -8.106722711496e-03      -8.106726189854e-03      -1.076406312375e-02      -8.107974546098e-03       5.501403758364e-01       5.498759658499e-01      -1.087412890994e-08      -3.806617904947e-13      -1.117763918383e-08      -6.947351986233e-12       6.846402171312e-02       7.395205073977e+01 
       3.742164496560e-05      -1.207325230323e-02      -9.095876011667e-03      -9.095880390248e-03      -1.207132176391e-02      -9.097278168979e-03       5.501390530477e-01       5.498748333015e-01      -1.368492878921e-08      -4.791522940495e-13      -1.406676405269e-08      -8.743120645616e-12       0.000000000000e+00       8.088283775289e-02 
       3.963901683208e-05      -1.353892936550e-02      -1.020571993994e-02      -1.020572545166e-02      -1.353650003157e-02      -1.020729013608e-02       5.501375752224e-01       5.498735688234e-01      -1.722154190862e-08      -6.031172653587e-13      -1.770187653486e-08      -1.100259155522e-11       8.484344206271e+01      -1.026974925032e+05 
       4.198777624174e-05      -1.518151389549e-02      -1.145097994255e-02      -1.145098688054e-02      -1.517845705011e-02      -1.145273789391e-02       5.501359181604e-01       5.498721509801e-01      -2.167108792781e-08      -7.591330676412e-13      -2.227527492050e-08      -1.384530597221e-11       1.053000159491e-01       7.767506124067e+01 
       4.447570839598e-05      -1.702209369487e-02      -1.284817786214e-02      -1.284818659547e-02      -1.701824746095e-02      -1.285014548807e-02       5.501340556246e-01       5.498705566784e-01      -2.726879840049e-08      -9.554975049416e-13      -2.802869613152e-08      -1.742154489832e-11       1.367325986073e+04       1.241261441975e-01 
       4.711105979834e-05      -1.908420149014e-02      -1.441585113984e-02      -1.441586213276e-02      -1.907936237854e-02      -1.441805277901e-02       5.501319660426e-01       5.498687677820e-01      -3.431035216177e-08      -1.202608745787e-12      -3.526597167192e-08      -2.192019575686e-11       6.650985454147e+01      -1.385588903593e+04 
       4.990256558844e-05      -2.139408088515e-02      -1.617479890316e-02      -1.617481274002e-02      -2.138799306395e-02      -1.617726154357e-02       5.501296232077e-01       5.498667619911e-01      -4.316731397426e-08      -1.513573052310e-12      -4.436890159006e-08      -2.757862749097e-11       1.668942100220e-01       5.259746356886e+01 
