# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0.8
# for k=1.05469e-05 to 9.11685 h/Mpc,
# number of wavenumbers equal to 270
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:vx_smg                 7:vx_prime_smg           8:d_tot                  9:phi                   10:psi                   11:t_g                   12:t_b                   13:t_ur                  14:t_tot              
       1.054685254309e-05      -8.769848521664e-04      -6.579506955580e-04      -6.579507213866e-04      -8.769744342441e-04      -6.580664781049e-04       5.616060725772e-01       5.613001271231e-01      -7.462735131828e-11      -3.243936230383e-15      -7.686310695734e-11      -5.372532256775e-14       3.177967454445e+02       3.358894347847e+02 
       1.117179284516e-05      -9.839543254362e-04      -7.382327023052e-04      -7.382327348213e-04      -9.839412104380e-04      -7.383625946625e-04       5.616059453349e-01       5.613000175485e-01      -9.394761931136e-11      -4.083843106346e-15      -9.676212304918e-11      -6.763426021200e-14       6.899144396176e+02       7.291885047751e+02 
       1.183376318815e-05      -1.103966031043e-03      -8.283105967388e-04      -8.283106376738e-04      -1.103949520840e-03      -8.284563159624e-04       5.616058339617e-01       5.612999259727e-01      -1.182693174178e-10      -5.141176633836e-15      -1.218123505850e-10      -8.514378784862e-14       1.497492131149e+03       1.582696010336e+03 
       1.253495773991e-05      -1.238608538249e-03      -9.293794851628e-04      -9.293795366959e-04      -1.238587754091e-03      -9.295429565992e-04       5.616056238167e-01       5.612997380578e-01      -1.488869742645e-10      -6.472219142273e-15      -1.533470599207e-10      -1.071858455094e-13       3.247560042942e+03       3.431892698945e+03 
       1.327770068094e-05      -1.389664273419e-03      -1.042780818917e-03      -1.042780883793e-03      -1.389638108642e-03      -1.042964201403e-03       5.616055247444e-01       5.612996639360e-01      -1.874301086692e-10      -8.147940250911e-15      -1.930446590699e-10      -1.349335891409e-13       7.014755029599e+03       7.408721799575e+03 
       1.406445390808e-05      -1.559131220701e-03      -1.170018916618e-03      -1.170018998291e-03      -1.559098282853e-03      -1.170224630439e-03       5.616052813435e-01       5.612994485311e-01      -2.359499765011e-10      -1.025746501850e-14      -2.430176541442e-10      -1.698636831622e-13       1.492635580842e+04       1.573525426667e+04 
       1.489782519471e-05      -1.749251146381e-03      -1.312782442664e-03      -1.312782545482e-03      -1.749209682601e-03      -1.313013201104e-03       5.616050688372e-01       5.612992673980e-01      -2.970285714978e-10      -1.291303193928e-14      -3.059253687062e-10      -2.138349362534e-13       3.040683155406e+04       3.189401796377e+04 
       1.578057683454e-05      -1.962537605168e-03      -1.472965801410e-03      -1.472965930849e-03      -1.962485408360e-03      -1.473224645840e-03       5.616048919467e-01       5.612991257122e-01      -3.739157834032e-10      -1.625605892719e-14      -3.851150377175e-10      -2.691870096415e-13       5.558344318377e+04       5.762700047385e+04 
       1.671563479743e-05      -2.201808656145e-03      -1.652694167117e-03      -1.652694330067e-03      -2.201742948981e-03      -1.652984506179e-03       5.616046043461e-01       5.612988776127e-01      -4.707024282910e-10      -2.046441253851e-14      -4.847997176771e-10      -3.388648576229e-13       7.990563980567e+04       8.073771636739e+04 
       1.770609842788e-05      -2.470224994062e-03      -1.854352699254e-03      -1.854352904393e-03      -2.470142280084e-03      -1.854678352829e-03       5.616043371272e-01       5.612986547340e-01      -5.925372564505e-10      -2.576271323358e-14      -6.102823716140e-10      -4.265752553964e-13       6.628702138041e+04       6.333611792259e+04 
