# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=100
# for k=1.05469e-05 to 9.11685 h/Mpc,
# number of wavenumbers equal to 270
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:vx_smg                 7:vx_prime_smg           8:d_tot                  9:phi                   10:psi                   11:t_g                   12:t_b                   13:t_ur                  14:t_tot              
       1.054685254309e-05      -1.599828030377e-05      -1.199876065487e-05      -1.199876109181e-05      -1.599827225520e-05      -1.211401293726e-05       6.122862514926e-01       5.968100497564e-01      -1.535020484367e-13      -1.401578553381e-16      -1.635618726718e-13      -6.019254946531e-15       3.177967454445e+02       3.358894347847e+02 
       1.117179284516e-05      -1.795035610669e-05      -1.346283056385e-05      -1.346283111394e-05      -1.795034597409e-05      -1.359214551938e-05       6.122862180428e-01       5.968100312036e-01      -1.932475099233e-13      -1.764521275653e-16      -2.059121275684e-13      -7.577789798273e-15       6.899144396176e+02       7.291885047751e+02 
       1.183376318815e-05      -2.014061858051e-05      -1.510554385678e-05      -1.510554454930e-05      -2.014060582437e-05      -1.525063733019e-05       6.122861769214e-01       5.968100068997e-01      -2.432840989181e-13      -2.221419517041e-16      -2.592278359991e-13      -9.539867418137e-15       1.497492131149e+03       1.582696010336e+03 
       1.253495773991e-05      -2.259812934309e-05      -1.694869762235e-05      -1.694869849418e-05      -2.259811328404e-05      -1.711149480099e-05       6.122861066938e-01       5.968099522839e-01      -3.062763930240e-13      -2.796570059641e-16      -3.263483745850e-13      -1.200997575969e-14       3.247560042942e+03       3.431892698945e+03 
       1.327770068094e-05      -2.535549858453e-05      -1.901675060518e-05      -1.901675170275e-05      -2.535547836740e-05      -1.919941157805e-05       6.122860523281e-01       5.968099170859e-01      -3.855789251236e-13      -3.520684422311e-16      -4.108480182229e-13      -1.511965535052e-14       7.014755029599e+03       7.408721799575e+03 
       1.406445390808e-05      -2.844931267092e-05      -2.133714396715e-05      -2.133714534891e-05      -2.844928721906e-05      -2.154209236294e-05       6.122859908531e-01       5.968098767439e-01      -4.854148134268e-13      -4.432286842859e-16      -5.172266727446e-13      -1.903450659018e-14       1.492635580842e+04       1.573525426667e+04 
       1.489782519471e-05      -3.192062281235e-05      -2.394066786241e-05      -2.394066960195e-05      -3.192059077041e-05      -2.417062300629e-05       6.122859218124e-01       5.968098318866e-01      -6.111006280664e-13      -5.579932814489e-16      -6.511492874419e-13      -2.396300689835e-14       3.040683155406e+04       3.189401796377e+04 
       1.578057683454e-05      -3.581548879116e-05      -2.686186932649e-05      -2.686187151643e-05      -3.581544845280e-05      -2.711988231182e-05       6.122858436489e-01       5.968097809095e-01      -7.693295068967e-13      -7.024726034546e-16      -8.197476711699e-13      -3.016761375769e-14       5.558344318377e+04       5.762700047385e+04 
       1.671563479743e-05      -4.018558994647e-05      -3.013951063182e-05      -3.013951338879e-05      -4.018553916354e-05      -3.042900479066e-05       6.122857529911e-01       5.968097202993e-01      -9.685276470285e-13      -8.843608608060e-16      -1.032000172088e-12      -3.797874157761e-14       7.990563980567e+04       8.073771636739e+04 
       1.770609842788e-05      -4.508891495104e-05      -3.381708676794e-05      -3.381709023872e-05      -4.508885101934e-05      -3.414190310723e-05       6.122857015208e-01       5.968097039695e-01      -1.219302949741e-12      -1.113381898441e-15      -1.299209743572e-12      -4.781236002029e-14       6.628702138041e+04       6.333611792259e+04 
       1.875525071809e-05      -5.059051621557e-05      -3.794339142977e-05      -3.794339579924e-05      -5.059043573049e-05      -3.830783949819e-05       6.122855861621e-01       5.968096263654e-01      -1.535009857404e-12      -1.401661790839e-15      -1.635606169730e-12      -6.019212735160e-14       3.593101246184e+04       3.492835933884e+04 
       1.986656918977e-05      -5.676339446275e-05      -4.257318068268e-05      -4.257318618347e-05      -5.676329313843e-05      -4.298209580427e-05       6.122854623865e-01       5.968095439222e-01      -1.932460864668e-12      -1.764581515913e-15      -2.059103354561e-12      -7.577730780324e-14       1.801633028417e+04       1.711274724407e+04 
       2.104373742076e-05      -6.368945208827e-05      -4.776788827616e-05      -4.776789520125e-05      -6.368932452883e-05      -4.822669564541e-05       6.122853191597e-01       5.968094486425e-01      -2.432820785227e-12      -2.221475661340e-15      -2.592253443199e-12      -9.539784022424e-14       9.630087189551e+03       8.971792105808e+03 
       2.229065725459e-05      -7.146058417593e-05      -5.359644427669e-05      -5.359645299486e-05      -7.146042358844e-05      -5.411123090447e-05       6.122851568037e-01       5.968093398879e-01      -3.062735224238e-12      -2.796669105155e-15      -3.263448187634e-12      -1.200985731331e-13       4.333535699870e+03       4.130083441139e+03 
       2.361146173358e-05      -8.017989723999e-05      -6.013618958991e-05      -6.013620056534e-05      -8.017969507301e-05      -6.071378501843e-05       6.122849736180e-01       5.968092166624e-01      -3.855748729767e-12      -3.520764398739e-15      -4.108429815110e-12      -1.511948699273e-13       1.753660821768e+03       1.633103559475e+03 
       2.501052879817e-05      -8.996307718378e-05      -6.747390251379e-05      -6.747391633192e-05      -8.996282266929e-05      -6.812196937365e-05       6.122847747328e-01       5.968090868119e-01      -4.854088950794e-12      -4.432708070544e-15      -5.172195447603e-12      -1.903426878073e-13       5.857944310526e+02       5.327866548303e+02 
