# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=20
# for k=1.05469e-05 to 9.11685 h/Mpc,
# number of wavenumbers equal to 270
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:vx_smg                 7:vx_prime_smg           8:d_tot                  9:phi                   10:psi                   11:t_g                   12:t_b                   13:t_ur                  14:t_tot              
       1.054685254309e-05      -8.037235471104e-05      -6.028088959777e-05      -6.028089016563e-05      -8.037230195219e-05      -6.040407974994e-05       6.030754155823e-01       5.993617022172e-01      -1.980195407209e-12      -3.543997534779e-17      -2.005938012442e-12      -1.624692276271e-14       3.177967454445e+02       3.358894347847e+02 
       1.117179284516e-05      -9.017896298647e-05      -6.763626618305e-05      -6.763626689796e-05      -9.017889656695e-05      -6.777448602828e-05       6.030753481788e-01       5.993616532315e-01      -2.492912276338e-12      -4.462407392139e-17      -2.525320189693e-12      -2.045361547394e-14       6.899144396176e+02       7.291885047751e+02 
       1.183376318815e-05      -1.011820785327e-04      -7.588913206702e-05      -7.588913296704e-05      -1.011819949161e-04      -7.604421504207e-05       6.030752621862e-01       5.993615878796e-01      -3.138382242353e-12      -5.617217175927e-17      -3.179180885026e-12      -2.574950535119e-14       1.497492131149e+03       1.582696010336e+03 
       1.253495773991e-05      -1.135276794954e-04      -8.514899904121e-05      -8.514900017426e-05      -1.135275742287e-04      -8.532300218044e-05       6.030751728442e-01       5.993615213144e-01      -3.950977466638e-12      -7.072566230458e-17      -4.002339493574e-12      -3.241661124197e-14       3.247560042942e+03       3.431892698945e+03 
       1.327770068094e-05      -1.273795454147e-04      -9.553873723975e-05      -9.553873866619e-05      -1.273794128925e-04      -9.573396841904e-05       6.030750630335e-01       5.993614373931e-01      -4.973969287072e-12      -8.903757800998e-17      -5.038629536594e-12      -4.080995735068e-14       7.014755029599e+03       7.408721799575e+03 
       1.406445390808e-05      -1.429214391539e-04      -1.071962134755e-04      -1.071962152713e-04      -1.429212723193e-04      -1.074152619896e-04       6.030749459225e-01       5.993613492944e-01      -6.261832788542e-12      -1.120912001937e-16      -6.343234206189e-12      -5.137649682005e-14       1.492635580842e+04       1.573525426667e+04 
       1.489782519471e-05      -1.603595338353e-04      -1.202761138202e-04      -1.202761160809e-04      -1.603593238045e-04      -1.205218846658e-04       6.030748154501e-01       5.993612513924e-01      -7.883147139549e-12      -1.411130896551e-16      -7.985623925813e-12      -6.467890057420e-14       3.040683155406e+04       3.189401796377e+04 
       1.578057683454e-05      -1.799251495670e-04      -1.349519991434e-04      -1.349520019895e-04      -1.799248851560e-04      -1.352277514804e-04       6.030746685124e-01       5.993611410029e-01      -9.924247214335e-12      -1.776480915357e-16      -1.005325577433e-11      -8.142552039168e-14       5.558344318377e+04       5.762700047385e+04 
       1.671563479743e-05      -2.018778187841e-04      -1.514186078883e-04      -1.514186114713e-04      -2.018774859135e-04      -1.517279981765e-04       6.030745029422e-01       5.993610164258e-01      -1.249382069951e-11      -2.236439674736e-16      -1.265622983092e-11      -1.025081054302e-13       7.990563980567e+04       8.073771636739e+04 
       1.770609842788e-05      -2.265087264834e-04      -1.698944409924e-04      -1.698944455032e-04      -2.265083074291e-04      -1.702415713741e-04       6.030743200679e-01       5.993608796927e-01      -1.572869448032e-11      -2.815577706160e-16      -1.593315089422e-11      -1.290492786273e-13       6.628702138041e+04       6.333611792259e+04 
       1.875525071809e-05      -2.541445633444e-04      -1.906246577026e-04      -1.906246633813e-04      -2.541440357926e-04      -1.910141302559e-04       6.030741122526e-01       5.993607234606e-01      -1.980112090412e-11      -3.544612453012e-16      -2.005851025585e-11      -1.624623171497e-13       3.593101246184e+04       3.492835933884e+04 
       1.986656918977e-05      -2.851518590348e-04      -2.138843330750e-04      -2.138843402240e-04      -2.851511948964e-04      -2.143213106653e-04       6.030738794823e-01       5.993605485315e-01      -2.492794803153e-11      -4.462408361446e-16      -2.525197287768e-11      -2.045263894903e-13       1.801633028417e+04       1.711274724407e+04 
       2.104373742076e-05      -3.199418320013e-04      -2.399821047817e-04      -2.399821137818e-04      -3.199409959133e-04      -2.404723792906e-04       6.030736177334e-01       5.993603517441e-01      -3.138216313094e-11      -5.617806245426e-16      -3.179007412268e-11      -2.574812734037e-13       9.630087189551e+03       8.971792105808e+03 
       2.229065725459e-05      -3.589758359905e-04      -2.692642699251e-04      -2.692642812555e-04      -3.589747834345e-04      -2.698143387582e-04       6.030733246475e-01       5.993601315309e-01      -3.950742944522e-11      -7.072408793518e-16      -4.002094255391e-11      -3.241466188068e-13       4.333535699870e+03       4.130083441139e+03 
       2.361146173358e-05      -4.027714647216e-04      -3.021193785427e-04      -3.021193928068e-04      -4.027701396571e-04      -3.027365304058e-04       6.030729952682e-01       5.993598839078e-01      -4.973638016100e-11      -8.903522049375e-16      -5.038283076167e-11      -4.080720361127e-13       1.753660821768e+03       1.633103559475e+03 
       2.501052879817e-05      -4.519094032881e-04      -3.389833910372e-04      -3.389834089958e-04      -4.519077351570e-04      -3.396758021041e-04       6.030726266765e-01       5.993596071311e-01      -6.261364541566e-11      -1.120962520145e-15      -6.342744782751e-11      -5.137260671322e-13       5.857944310526e+02       5.327866548303e+02 
       2.649249579812e-05      -5.070411044003e-04      -3.803454591725e-04      -3.803454817796e-04      -5.070390044018e-04      -3.811223008736e-04       6.030722111745e-01       5.993592944082e-01      -7.882486148150e-11      -1.411063259240e-15      -7.984932945688e-11      -6.467340673299e-13       1.100158817768e+02       9.597754355737e+01 
       2.806227486340e-05      -5.688974108589e-04      -4.267544227898e-04      -4.267544512504e-04      -5.688947671863e-04      -4.276259826508e-04       6.030717472311e-01       5.993589459653e-01      -9.923313585028e-11      -1.776445061473e-15      -1.005227975526e-10      -8.141776132608e-13       1.544890283833e+01       1.337777373821e+01 
