# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=3
# for k=1.05469e-05 to 9.11685 h/Mpc,
# number of wavenumbers equal to 270
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:vx_smg                 7:vx_prime_smg           8:d_tot                  9:phi                   10:psi                   11:t_g                   12:t_b                   13:t_ur                  14:t_tot              
       1.054685254309e-05      -4.217661825944e-04      -3.163716331911e-04      -3.163716453270e-04      -4.217636336227e-04      -3.164953460128e-04       5.953581811344e-01       5.946407446437e-01      -2.397529507570e-11      -4.271269453063e-15      -2.504288050276e-11      -3.884839586398e-14       3.177967454445e+02       3.358894347847e+02 
       1.117179284516e-05      -4.732207969285e-04      -3.549747619480e-04      -3.549747772261e-04      -4.732175880050e-04      -3.551135611648e-04       5.953580704777e-01       5.946406531875e-01      -3.018271229151e-11      -5.377154849077e-15      -3.152669235629e-11      -4.890658550164e-14       6.899144396176e+02       7.291885047751e+02 
       1.183376318815e-05      -5.309515863344e-04      -3.982881723900e-04      -3.982881916238e-04      -5.309475466043e-04      -3.984438965286e-04       5.953579455726e-01       5.946405498450e-01      -3.799722288260e-11      -6.769399490614e-15      -3.968915160102e-11      -6.156883369725e-14       1.497492131149e+03       1.582696010336e+03 
       1.253495773991e-05      -5.957237832299e-04      -4.468866044989e-04      -4.468866287125e-04      -5.957186976336e-04      -4.470613158278e-04       5.953578077893e-01       5.946404361938e-01      -4.783488021160e-11      -8.522054642005e-15      -4.996483226062e-11      -7.750927857251e-14       3.247560042942e+03       3.431892698945e+03 
       1.327770068094e-05      -6.683958411119e-04      -5.014149251051e-04      -5.014149555881e-04      -6.683894388084e-04      -5.016109367813e-04       5.953576575412e-01       5.946403131748e-01      -6.021940809813e-11      -1.072850472603e-14      -6.290079658143e-11      -9.757656059054e-14       7.014755029599e+03       7.408721799575e+03 
       1.406445390808e-05      -7.499307617658e-04      -5.625966781517e-04      -5.625967165274e-04      -7.499227018935e-04      -5.628165846369e-04       5.953574819937e-01       5.946401681360e-01      -7.581014806192e-11      -1.350631255496e-14      -7.918571462836e-11      -1.228390399781e-13       1.492635580842e+04       1.573525426667e+04 
       1.489782519471e-05      -8.414088330828e-04      -6.312437068500e-04      -6.312437551611e-04      -8.413986866207e-04      -6.314904179970e-04       5.953572906059e-01       5.946400108525e-01      -9.543709746696e-11      -1.700308481961e-14      -9.968651245395e-11      -1.546415446310e-13       3.040683155406e+04       3.189401796377e+04 
       1.578057683454e-05      -9.440418456185e-04      -7.082669023494e-04      -7.082669631693e-04      -9.440290722416e-04      -7.085436815776e-04       5.953570758978e-01       5.946398345616e-01      -1.201449995058e-10      -2.140522941437e-14      -1.254945005042e-10      -1.946769989029e-13       5.558344318377e+04       5.762700047385e+04 
       1.671563479743e-05      -1.059189069387e-03      -7.946882959878e-04      -7.946883725544e-04      -1.059172989138e-03      -7.949988030347e-04       5.953568305780e-01       5.946396323240e-01      -1.512490892052e-10      -2.694721869853e-14      -1.579834348512e-10      -2.450765412470e-13       7.990563980567e+04       8.073771636739e+04 
       1.770609842788e-05      -1.188375167582e-03      -8.916546312530e-04      -8.916547276430e-04      -1.188354924553e-03      -8.920029700521e-04       5.953565556266e-01       5.946394056268e-01      -1.904050265478e-10      -3.392396150527e-14      -1.988826055876e-10      -3.085228543139e-13       6.628702138041e+04       6.333611792259e+04 
