# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.494398356897e-10       7.315016078415e-15       4.820653095007e-13       0.000000000000e+00       8.899389736991e-09       4.879130428436e-10      -2.513521431541e-12 
    3       1.408249752429e-10       1.238630792331e-14       6.064281990774e-13       0.000000000000e+00       5.433446197626e-09       3.466906200111e-10      -2.211231949942e-12 
    4       1.323520960221e-10       1.446279513202e-14       6.273192020119e-13       0.000000000000e+00       3.759385827861e-09       2.634429328862e-10      -1.764012621815e-12 
    5       1.256415046388e-10       1.337607624362e-14       5.875004275613e-13       0.000000000000e+00       2.796793172620e-09       2.088134192916e-10      -1.309402795484e-12 
    6       1.206972914738e-10       1.032145594386e-14       5.169918065460e-13       0.000000000000e+00       2.178869979092e-09       1.703675279266e-10      -8.948042835169e-13 
    7       1.172226236411e-10       6.840660787776e-15       4.361971149042e-13       0.000000000000e+00       1.753748511793e-09       1.420095873476e-10      -5.443789344531e-13 
    8       1.148973393281e-10       4.041842016493e-15       3.573946985017e-13       0.000000000000e+00       1.446454095036e-09       1.203520480397e-10      -2.689073494208e-13 
    9       1.134769816233e-10       2.335977695386e-15       2.878532652189e-13       0.000000000000e+00       1.215778588718e-09       1.033589443692e-10      -7.004096756894e-14 
   10       1.127468178549e-10       1.571350068673e-15       2.316281766197e-13       0.000000000000e+00       1.037473918834e-09       8.976792718951e-11       5.752365560903e-14 
   11       1.125672384161e-10       1.345705158698e-15       1.904229819875e-13       0.000000000000e+00       8.886918179409e-10       7.950450882698e-11       1.233840822173e-13 
   12       1.128294966976e-10       1.288231241356e-15       1.639402969681e-13       0.000000000000e+00       7.765295302522e-10       7.028204838125e-11       1.421785057020e-13 
   13       1.134135839427e-10       1.200665266715e-15       1.504279114589e-13       0.000000000000e+00       6.844576600868e-10       6.274523694895e-11       1.277247698099e-13 
   14       1.142210972750e-10       1.054802879297e-15       1.473131616859e-13       0.000000000000e+00       6.078517436828e-10       5.620884306395e-11       9.278650604864e-14 
