# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=2
# for k=1.05469e-05 to 9.11685 h/Mpc,
# number of wavenumbers equal to 270
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:vx_smg                 7:vx_prime_smg           8:d_tot                  9:phi                   10:psi                   11:t_g                   12:t_b                   13:t_ur                  14:t_tot              
       1.054685254309e-05      -5.561921666602e-04      -4.172266232340e-04      -4.172266403066e-04      -5.561876310481e-04      -4.173490020104e-04       5.893193838962e-01       5.887845751721e-01      -3.669175318744e-11      -4.044107382132e-15      -3.814537797371e-11      -4.438844801894e-14       3.177967454445e+02       3.358894347847e+02 
       1.117179284516e-05      -6.240427238550e-04      -4.681359008071e-04      -4.681359223002e-04      -6.240370139542e-04      -4.682732005233e-04       5.893192676298e-01       5.887844779824e-01      -4.619136602798e-11      -5.091200755511e-15      -4.802132281123e-11      -5.588076157005e-14       6.899144396176e+02       7.291885047751e+02 
       1.183376318815e-05      -7.001683745257e-04      -5.252570285471e-04      -5.252570556050e-04      -7.001611863429e-04      -5.254110668473e-04       5.893191322025e-01       5.887843639127e-01      -5.815034475310e-11      -6.409389979073e-15      -6.045404397245e-11      -7.034832665227e-14       1.497492131149e+03       1.582696010336e+03 
       1.253495773991e-05      -7.855778337998e-04      -5.893479745196e-04      -5.893480085829e-04      -7.855687846810e-04      -5.895207900648e-04       5.893189888819e-01       5.887842444637e-01      -7.320535289455e-11      -8.068749721440e-15      -7.610541272919e-11      -8.856133508376e-14       3.247560042942e+03       3.431892698945e+03 
       1.327770068094e-05      -8.814026210521e-04      -6.612591804108e-04      -6.612592232938e-04      -8.813912291064e-04      -6.614530596449e-04       5.893188390055e-01       5.887841215812e-01      -9.215776487535e-11      -1.015791012945e-14      -9.580861026281e-11      -1.114893377276e-13       7.014755029599e+03       7.408721799575e+03 
       1.406445390808e-05      -9.889119525009e-04      -7.419448272641e-04      -7.419448812503e-04      -9.888976112822e-04      -7.421623343860e-04       5.893186515903e-01       5.887839643350e-01      -1.160165323436e-10      -1.278788648937e-14      -1.206124595020e-10      -1.403528527415e-13       1.492635580842e+04       1.573525426667e+04 
       1.489782519471e-05      -1.109529566827e-03      -8.324755753028e-04      -8.324756432660e-04      -1.109511512998e-03      -8.327195858567e-04       5.893184500626e-01       5.887837966098e-01      -1.460516356142e-10      -1.609862295729e-14      -1.518372413202e-10      -1.766882487518e-13       3.040683155406e+04       3.189401796377e+04 
       1.578057683454e-05      -1.244852340536e-03      -9.340526770076e-04      -9.340527625676e-04      -1.244829612810e-03      -9.343264154627e-04       5.893182136486e-01       5.887835982405e-01      -1.838616524295e-10      -2.026658052406e-14      -1.911449126040e-10      -2.224294957784e-13       5.558344318377e+04       5.762700047385e+04 
       1.671563479743e-05      -1.396671381432e-03      -1.048023989449e-03      -1.048024097160e-03      -1.396642770084e-03      -1.048331071278e-03       5.893179504479e-01       5.887833775954e-01      -2.314590588890e-10      -2.551332947046e-14      -2.406275091227e-10      -2.800111012029e-13       7.990563980567e+04       8.073771636739e+04 
       1.770609842788e-05      -1.566995549623e-03      -1.175901855046e-03      -1.175901990645e-03      -1.566959531847e-03      -1.176246333817e-03       5.893176760528e-01       5.887831510795e-01      -2.913768148109e-10      -3.211912355561e-14      -3.029184242044e-10      -3.524975613206e-13       6.628702138041e+04       6.333611792259e+04 
