# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ur             13:(.)rho_crit           14:gr.fac. D             15:gr.fac. f             16:(.)rho_smg            17:(.)p_smg              18:M*^2_smg              19:D_M*^2_smg            20:kineticity_smg        21:braiding_smg          22:tensor_excess_smg     23:Mpl_running_smg       24:c_s^2                 25:kin (D)            
       9.326212236467e+13       8.690109267060e-26       4.969479050487e-09       1.876595376799e+22       1.403502526784e+04       1.504900908534e-10       1.308936243921e+18       2.869287227187e-09       2.081614238066e+44       1.988512843846e+33       1.086497713064e+34       1.439995970028e+44       3.521610208223e+44       7.943322845158e-07       1.433565615563e+01       5.421250571142e-04      -4.879125514027e-04       1.000000000000e+00       0.000000000000e+00       4.618271401942e-42       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       9.999999999995e-08       4.618271401942e-42 
       9.261382558557e+13       8.812196612152e-26       5.004039849155e-09       1.850596348697e+22       1.403502526784e+04       1.515435214894e-10       1.299837382245e+18       2.889372237778e-09       2.024334923493e+44       1.947331947223e+33       1.063997003480e+34       1.400371922189e+44       3.424706845808e+44       8.737655129673e-07       1.303241468694e+01       5.409917468594e-04      -4.868925721734e-04       1.000000000000e+00       0.000000000000e+00       4.739019465461e-42       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       9.999999999995e-08       4.739019465461e-42 
       9.197003533820e+13       8.935999162356e-26       5.040419637226e-09       1.824957520491e+22       1.403502526784e+04       1.526043261398e-10       1.290801769856e+18       2.909597843442e-09       1.968631751039e+44       1.907003882027e+33       1.041962269964e+34       1.361838200434e+44       3.330469951597e+44       9.531987414188e-07       1.194638012969e+01       5.398608057851e-04      -4.858747252066e-04       1.000000000000e+00       0.000000000000e+00       4.862924574890e-42       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       9.999999999995e-08       4.862924574890e-42 
       9.133072029613e+13       9.061541014588e-26       5.074980435893e-09       1.799673901845e+22       1.403502526784e+04       1.536725564228e-10       1.281828967087e+18       2.929965028346e-09       1.914461350355e+44       1.867510986636e+33       1.020383862433e+34       1.324364802504e+44       3.238826152979e+44       1.032631969870e-06       1.102742781202e+01       5.387322289386e-04      -4.848590060447e-04       1.000000000000e+00       0.000000000000e+00       4.990069273491e-42       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       9.999999999994e-08       4.990069273491e-42 
       9.069584935067e+13       9.188846604302e-26       5.109541234560e-09       1.774740571555e+22       1.403502526784e+04       1.547482643178e-10       1.272918537325e+18       2.950474783544e-09       1.861781544500e+44       1.828835965190e+33       9.992523306533e+33       1.287922551704e+44       3.149704096322e+44       1.112065198322e-06       1.023975439688e+01       5.376060113775e-04      -4.838454102397e-04       1.000000000000e+00       0.000000000000e+00       5.120538262677e-42       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       9.999999999994e-08       5.120538262677e-42 
       9.006539160940e+13       9.317940710246e-26       5.145921022631e-09       1.750152676602e+22       1.403502526784e+04       1.558315021680e-10       1.264070046996e+18       2.971128107029e-09       1.810551317110e+44       1.790961880013e+33       9.785584200979e+33       1.252483074188e+44       3.063034391414e+44       1.191498426773e-06       9.557104103752e+00       5.364821481696e-04      -4.828339333527e-04       1.000000000000e+00       0.000000000000e+00       5.254418458442e-42       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       9.999999999993e-08       5.254418458442e-42 
       8.943931639464e+13       9.448848459284e-26       5.182300810702e-09       1.725905431199e+22       1.403502526784e+04       1.569223226832e-10       1.255283065537e+18       2.991926003778e-09       1.760730780457e+44       1.753872144201e+33       9.582930678965e+33       1.218018776869e+44       2.978749557440e+44       1.270931655225e-06       8.959785097268e+00       5.353606343933e-04      -4.818245709540e-04       1.000000000000e+00       0.000000000000e+00       5.391799049264e-42       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       9.999999999993e-08       5.391799049264e-42 
       8.881759324194e+13       9.581595331288e-26       5.218680598773e-09       1.701994115865e+22       1.403502526784e+04       1.580207789420e-10       1.246557165380e+18       3.012869485804e-09       1.712281144397e+44       1.717550514354e+33       9.384473988651e+33       1.184502825930e+44       2.896783970438e+44       1.350364883676e-06       8.432738915075e+00       5.342414651371e-04      -4.808173186233e-04       1.000000000000e+00       0.000000000000e+00       5.532771555515e-42       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       9.999999999993e-08       5.532771555515e-42 
       8.820019189865e+13       9.716207164097e-26       5.255060386844e-09       1.678414076505e+22       1.403502526784e+04       1.591269243946e-10       1.237891921926e+18       3.033959572205e-09       1.665164686162e+44       1.681981083463e+33       9.190127216196e+33       1.151909125936e+44       2.817073812207e+44       1.429798112128e-06       7.964253419793e+00       5.331246354996e-04      -4.798121719497e-04       1.000000000000e+00       0.000000000000e+00       5.677429890436e-42       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       9.999999999992e-08       5.677429890436e-42 
       8.758708232239e+13       9.852710158545e-26       5.291440174915e-09       1.655160723500e+22       1.403502526784e+04       1.602408128653e-10       1.229286913531e+18       3.055197289210e-09       1.619344720997e+44       1.647148273942e+33       8.999805247689e+33       1.120212299513e+44       2.739557020616e+44       1.509231340579e-06       7.545082187172e+00       5.320101405901e-04      -4.788091265311e-04       1.000000000000e+00       0.000000000000e+00       5.825870422698e-42       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       9.999999999992e-08       5.825870422698e-42 
       8.697823467963e+13       9.991130883562e-26       5.329638952389e-09       1.632229530822e+22       1.403502526784e+04       1.613624985554e-10       1.220741721481e+18       3.076583670235e-09       1.574785573591e+44       1.613036830809e+33       8.813424731879e+33       1.089387667590e+44       2.664173241285e+44       1.588664569031e-06       7.167828077813e+00       5.308979755276e-04      -4.778081779749e-04       1.000000000000e+00       0.000000000000e+00       5.978192040599e-42       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       9.999999999991e-08       5.978192040599e-42 
       8.637361934422e+13       1.013149628134e-25       5.366018740460e-09       1.609616035145e+22       1.403502526784e+04       1.624920360453e-10       1.212255929971e+18       3.098119755926e-09       1.531452550303e+44       1.579631815003e+33       8.630904043667e+33       1.059411230187e+44       2.590863780592e+44       1.668097797482e-06       6.826502931250e+00       5.297881354418e-04      -4.768093218976e-04       1.000000000000e+00       0.000000000000e+00       6.134496217946e-42       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       9.999999999991e-08       6.134496217946e-42 
       8.577320689594e+13       1.027383367260e-25       5.404217517935e-09       1.587315834979e+22       1.403502526784e+04       1.636294802976e-10       1.203829126089e+18       3.119806594217e-09       1.489311912148e+44       1.546918596842e+33       8.452163248361e+33       1.030259647725e+44       2.519571559973e+44       1.747531025934e-06       6.516207343466e+00       5.286806154722e-04      -4.758125539250e-04       1.000000000000e+00       0.000000000000e+00       6.294887081650e-42       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       9.999999999991e-08       6.294887081650e-42 
       8.517696811911e+13       1.041817076187e-25       5.440597306006e-09       1.565324589817e+22       1.403502526784e+04       1.647748866597e-10       1.195460899790e+18       3.141645240377e-09       1.448330848532e+44       1.514882849617e+33       8.277124066669e+33       1.001910222853e+44       2.450241071483e+44       1.826964254385e-06       6.232893980706e+00       5.275754107687e-04      -4.748178696918e-04       1.000000000000e+00       0.000000000000e+00       6.459471481098e-42       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       9.999999999990e-08       6.459471481098e-42 
       8.458487400110e+13       1.056453564290e-25       5.478796083480e-09       1.543638019284e+22       1.403502526784e+04       1.659283108663e-10       1.187150843883e+18       3.163636757059e-09       1.408477451701e+44       1.483510543313e+33       8.105709840415e+33       9.743408827802e+43       2.382818334577e+44       1.906397482836e-06       5.973190064843e+00       5.264725164911e-04      -4.738252648420e-04       1.000000000000e+00       0.000000000000e+00       6.628359059331e-42       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       9.999999999990e-08       6.628359059331e-42 
       8.399689573098e+13       1.071295680415e-25       5.518813850358e-09       1.522251902309e+22       1.403502526784e+04       1.670898090424e-10       1.178898554005e+18       3.185782214359e-09       1.369720691899e+44       1.452787938472e+33       7.937845498967e+33       9.475301620876e+43       2.317250854080e+44       1.985830711288e-06       5.734262462250e+00       5.253719278096e-04      -4.728347350287e-04       1.000000000000e+00       0.000000000000e+00       6.801662326086e-42       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       9.999999999990e-08       6.801662326086e-42 
       8.341300469809e+13       1.086346313429e-25       5.557012627833e-09       1.501162076299e+22       1.403502526784e+04       1.682594377057e-10       1.170703628604e+18       3.208082689859e-09       1.332030393209e+44       1.422701580169e+33       7.773457526360e+33       9.214571860147e+43       2.253487579316e+44       2.065263939739e-06       5.513713906009e+00       5.242736399044e-04      -4.718462759139e-04       1.000000000000e+00       0.000000000000e+00       6.979496732751e-42       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       9.999999999989e-08       6.979496732751e-42 
       8.283317249065e+13       1.101608392786e-25       5.595211405307e-09       1.480364436333e+22       1.403502526784e+04       1.694372537696e-10       1.162565668922e+18       3.230539268688e-09       1.295377210060e+44       1.393238292125e+33       7.612473929102e+33       8.961016542075e+43       2.191478864358e+44       2.144697168191e-06       5.309502279860e+00       5.231776479656e-04      -4.708598831690e-04       1.000000000000e+00       0.000000000000e+00       7.161980749273e-42       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       9.999999999989e-08       7.161980749273e-42 
       8.225737089439e+13       1.117084889096e-25       5.635229172185e-09       1.459854934360e+22       1.403502526784e+04       1.706233145460e-10       1.154484278969e+18       3.253153043568e-09       1.259732604374e+44       1.364385170931e+33       7.454824204642e+33       8.714438249120e+43       2.131176429374e+44       2.224130396642e-06       5.119877198437e+00       5.220839471935e-04      -4.698755524741e-04       1.000000000000e+00       0.000000000000e+00       7.349235943081e-42       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       9.999999999989e-08       7.349235943081e-42 
       8.168557189115e+13       1.132778814703e-25       5.673427949660e-09       1.439629578414e+22       1.403502526784e+04       1.718176777479e-10       1.146459065511e+18       3.275925114873e-09       1.225068823350e+44       1.336129580402e+33       7.300439310492e+33       8.474644996041e+43       2.072533323041e+44       2.303563625094e-06       4.943329708835e+00       5.209925327985e-04      -4.688932795186e-04       1.000000000000e+00       0.000000000000e+00       7.541387060076e-42       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       9.999999999988e-08       7.541387060076e-42 
       8.111774765755e+13       1.148693224271e-25       5.713445716538e-09       1.419684431831e+22       1.403502526784e+04       1.730204014921e-10       1.138489638044e+18       3.298856590677e-09       1.191358877855e+44       1.308459146039e+33       7.149251633994e+33       8.241450080408e+43       2.015503885981e+44       2.382996853545e-06       4.778552051874e+00       5.199034000009e-04      -4.679130600008e-04       1.000000000000e+00       0.000000000000e+00       7.738562107728e-42       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       9.999999999988e-08       7.738562107728e-42 
       8.055387056360e+13       1.164831215379e-25       5.753463483416e-09       1.400015612491e+22       1.403502526784e+04       1.742315443025e-10       1.130575608783e+18       3.321948586812e-09       1.158576521410e+44       1.281361749613e+33       7.001194962707e+33       8.014671937242e+43       1.960043715217e+44       2.462430081996e-06       4.624405211491e+00       5.188165440311e-04      -4.669348896280e-04       1.000000000000e+00       0.000000000000e+00       7.940892440356e-42       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       9.999999999988e-08       7.940892440356e-42 
       7.999391317140e+13       1.181195929123e-25       5.793481250294e-09       1.380619292057e+22       1.403502526784e+04       1.754511651127e-10       1.122716592634e+18       3.345202226919e-09       1.126696229752e+44       1.254825523854e+33       6.856204455410e+33       7.794133997646e+43       1.906109629598e+44       2.541863310448e-06       4.479892548632e+00       5.177319601293e-04      -4.659587641163e-04       1.000000000000e+00       0.000000000000e+00       8.148512846636e-42       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       9.999999999987e-08       8.148512846636e-42 
       7.943784823376e+13       1.197790550732e-25       5.835318006575e-09       1.361491695231e+22       1.403502526784e+04       1.766793232685e-10       1.114912207184e+18       3.368618642508e-09       1.095693180968e+44       1.228838847260e+33       6.714216613703e+33       7.579664551331e+43       1.853659636181e+44       2.621296538899e-06       4.344138228976e+00       5.166496435457e-04      -4.649846791912e-04       1.000000000000e+00       0.000000000000e+00       8.361561639388e-42       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       9.999999999987e-08       8.361561639388e-42 
       7.888564869291e+13       1.214618310179e-25       5.875335773453e-09       1.342629099019e+22       1.403502526784e+04       1.779160785313e-10       1.107162072675e+18       3.392198973005e-09       1.065543236161e+44       1.203390338998e+33       6.575169254201e+33       7.371096612922e+43       1.802652897531e+44       2.700729767350e-06       4.216369457536e+00       5.155695895407e-04      -4.640126305866e-04       1.000000000000e+00       0.000000000000e+00       8.580180747724e-42       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       9.999999999987e-08       8.580180747724e-42 
       7.833728767915e+13       1.231682482819e-25       5.917172529735e-09       1.324027832007e+22       1.403502526784e+04       1.791614910811e-10       1.099465811991e+18       3.415944365816e-09       1.036222920658e+44       1.178468853929e+33       6.439001481298e+33       7.168267791942e+43       1.753049699928e+44       2.780162995802e-06       4.095901758749e+00       5.144917933842e-04      -4.630426140458e-04       1.000000000000e+00       0.000000000000e+00       8.804515811595e-42       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       9.999999999986e-08       8.804515811595e-42 
       7.779273850958e+13       1.248986390020e-25       5.957190296613e-09       1.305684273647e+22       1.403502526784e+04       1.804156215186e-10       1.091823050637e+18       3.439855976376e-09       1.007709405735e+44       1.154063477722e+33       6.305653660500e+33       6.971020166377e+43       1.704811422447e+44       2.859596224253e-06       3.982126709895e+00       5.134162503563e-04      -4.620746253206e-04       1.000000000000e+00       0.000000000000e+00       9.034716278813e-42       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       9.999999999986e-08       9.034716278813e-42 
       7.725197468677e+13       1.266533399813e-25       5.999027052894e-09       1.287594853550e+22       1.403502526784e+04       1.816785308693e-10       1.084233416720e+18       3.463934968211e-09       9.799804908407e+43       1.130163522074e+33       6.175067392306e+33       6.779200159717e+43       1.657900506885e+44       2.939029452705e-06       3.874501663682e+00       5.123429557467e-04      -4.611086601720e-04       1.000000000000e+00       0.000000000000e+00       9.270935504614e-42       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       9.999999999986e-08       9.270935504614e-42 
       7.671496989749e+13       1.284326927547e-25       6.040863809176e-09       1.269756050792e+22       1.403502526784e+04       1.829502805854e-10       1.076696540933e+18       3.488182512988e-09       9.530145863113e+43       1.106758520033e+33       6.047185486635e+33       6.592658421386e+43       1.612280428521e+44       3.018462681156e-06       3.772541093585e+00       5.112719048552e-04      -4.601447143697e-04       1.000000000000e+00       0.000000000000e+00       9.513330853816e-42       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       9.999999999986e-08       9.513330853816e-42 
       7.618169801141e+13       1.302370436552e-25       6.084519554861e-09       1.252164393232e+22       1.403502526784e+04       1.842309325495e-10       1.069212056537e+18       3.512599790579e-09       9.267906965607e+43       1.083838221408e+33       5.921951937777e+33       6.411249710450e+43       1.567915667676e+44       3.097895909607e-06       3.675809270672e+00       5.102030929913e-04      -4.591827836922e-04       1.000000000000e+00       0.000000000000e+00       9.762063805657e-42       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       9.999999999985e-08       9.762063805657e-42 
       7.565213307985e+13       1.320667438815e-25       6.126356311142e-09       1.234816456830e+22       1.403502526784e+04       1.855205490773e-10       1.061779599342e+18       3.537187989113e-09       9.012884037336e+43       1.061392588286e+33       5.799311899866e+33       6.234832782539e+43       1.524771682056e+44       3.177329138059e-06       3.583914038905e+00       5.091365154743e-04      -4.582228639269e-04       1.000000000000e+00       0.000000000000e+00       1.001730006137e-41       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       9.999999999985e-08       1.001730006137e-41 
       7.512624933450e+13       1.339221495663e-25       6.170012056828e-09       1.217708864986e+22       1.403502526784e+04       1.868191929209e-10       1.054398807688e+18       3.561948305036e-09       8.764878518087e+43       1.039411790631e+33       5.679211662862e+33       6.063270279875e+43       1.482814879863e+44       3.256762366510e-06       3.496501501371e+00       5.080721676333e-04      -4.572649508700e-04       1.000000000000e+00       0.000000000000e+00       1.027920965455e-41       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       9.999999999985e-08       1.027920965455e-41 
       7.460402118620e+13       1.358036218455e-25       6.211848813109e-09       1.200838287880e+22       1.403502526784e+04       1.881269272713e-10       1.047069322431e+18       3.586881943171e-09       8.523697311380e+43       1.017886201983e+33       5.561598629025e+33       5.896428624321e+43       1.442012593636e+44       3.336195594961e-06       3.413251465624e+00       5.070100448072e-04      -4.563090403265e-04       1.000000000000e+00       0.000000000000e+00       1.054796706447e-41       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       9.999999999984e-08       1.054796706447e-41 
       7.408542322363e+13       1.377115269288e-25       6.255504558794e-09       1.184201441824e+22       1.403502526784e+04       1.894438157622e-10       1.039790786923e+18       3.611990116773e-09       8.289152634129e+43       9.968063952379e+32       5.446421289885e+33       5.734177913379e+43       1.402333054815e+44       3.415628823413e-06       3.333873524563e+00       5.059501423446e-04      -4.553551281102e-04       1.000000000000e+00       0.000000000000e+00       1.082375133227e-41       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       9.999999999984e-08       1.082375133227e-41 
       7.357043021214e+13       1.396462361706e-25       6.299160304479e-09       1.167795088624e+22       1.403502526784e+04       1.907699224725e-10       1.032562846994e+18       3.637274047591e-09       8.061061870435e+43       9.761631385235e+32       5.333629203679e+33       5.576391819052e+43       1.363745369012e+44       3.495062051864e-06       3.258103671732e+00       5.048924556039e-04      -4.544032100435e-04       1.000000000000e+00       0.000000000000e+00       1.110674618026e-41       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       9.999999999984e-08       1.110674618026e-41 
       7.305901709250e+13       1.416081261426e-25       6.344635039568e-09       1.151616034949e+22       1.403502526784e+04       1.921053119299e-10       1.025385150937e+18       3.662734965923e-09       7.839247429397e+43       9.559473911528e+32       5.223172973265e+33       5.422947489480e+43       1.326219491949e+44       3.574495280315e-06       3.185701367916e+00       5.038369799530e-04      -4.534532819577e-04       1.000000000000e+00       0.000000000000e+00       1.139714013430e-41       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       9.999999999984e-08       1.139714013430e-41 
       7.255115897964e+13       1.435975787068e-25       6.388290785253e-09       1.135661131710e+22       1.403502526784e+04       1.934500491134e-10       1.018257349490e+18       3.688374110685e-09       7.623536606846e+43       9.361502996661e+32       5.115004224483e+33       5.273725453290e+43       1.289726206074e+44       3.653928508767e-06       3.116446990353e+00       5.027837107698e-04      -4.525053396928e-04       1.000000000000e+00       0.000000000000e+00       1.169512664940e-41       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       9.999999999983e-08       1.169512664940e-41 
       7.204683116150e+13       1.456149810900e-25       6.433765520342e-09       1.119927273445e+22       1.403502526784e+04       1.948041994572e-10       1.011179095820e+18       3.714192729459e-09       7.413761450873e+43       9.167631939538e+32       5.009075584974e+33       5.128609526579e+43       1.254237097804e+44       3.733361737218e-06       3.050139607579e+00       5.017326434415e-04      -4.515593790974e-04       1.000000000000e+00       0.000000000000e+00       1.200090423860e-41       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       9.999999999983e-08       1.200090423860e-41 
       7.154600909782e+13       1.476607259593e-25       6.477421266027e-09       1.104411397719e+22       1.403502526784e+04       1.961678288534e-10       1.004150045501e+18       3.740192078565e-09       7.209758631066e+43       8.977775834586e+32       4.905340663432e+33       4.987486722447e+43       1.219724535409e+44       3.812794965669e-06       2.986595032422e+00       5.006837733653e-04      -4.506153960288e-04       1.000000000000e+00       0.000000000000e+00       1.231467660517e-41       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       9.999999999983e-08       1.231467660517e-41 
       7.104866841888e+13       1.497352114983e-25       6.522896001115e-09       1.089110484522e+22       1.403502526784e+04       1.975410036554e-10       9.971698565056e+17       3.766373423115e-09       7.011369311337e+43       8.791851534578e+32       4.803754029287e+33       4.850247163031e+43       1.186161647494e+44       3.892228194121e-06       2.925644113393e+00       4.996370959477e-04      -4.496733863530e-04       1.000000000000e+00       0.000000000000e+00       1.263665277840e-41       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       9.999999999983e-08       1.263665277840e-41 
       7.055478492441e+13       1.518388414847e-25       6.568370736204e-09       1.074021555686e+22       1.403502526784e+04       1.989237906809e-10       9.902381891813e+17       3.792738037076e-09       6.818439026258e+43       8.609777614216e+32       4.704271192808e+33       4.716783993953e+43       1.153522302077e+44       3.971661422572e-06       2.867131231125e+00       4.985926066051e-04      -4.487333459446e-04       1.000000000000e+00       0.000000000000e+00       1.296704725277e-41       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       9.999999999982e-08       1.296704725277e-41 
       7.006433458233e+13       1.539720253687e-25       6.615664460696e-09       1.059141674304e+22       1.403502526784e+04       2.003162572157e-10       9.833547062376e+17       3.819287203336e-09       6.630817560790e+43       8.431474334469e+32       4.606848585618e+33       4.586993301122e+43       1.121781086246e+44       4.051094651024e-06       2.810912971691e+00       4.975503007633e-04      -4.477952706870e-04       1.000000000000e+00       0.000000000000e+00       1.330608013089e-41       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       9.999999999982e-08       1.330608013089e-41 
