# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ur             13:(.)rho_crit           14:gr.fac. D             15:gr.fac. f             16:(.)rho_smg            17:(.)p_smg              18:M*^2_smg              19:D_M*^2_smg            20:kineticity_smg        21:braiding_smg          22:tensor_excess_smg     23:Mpl_running_smg       24:c_s^2                 25:kin (D)            
       1.000000000000e+14       7.558503632224e-26       4.634785000235e-09       2.157545946648e+22       1.403502526784e+04       1.403502526784e-10       1.403502526784e+18       2.675958164815e-09       2.751560535470e+44       2.451390603497e+33       1.339408137477e+34       1.903443976270e+44       4.655004511898e+44       5.693637252075e-20       2.000000000000e+14       5.535895616459e-04      -4.982306054813e-04       1.000000000000e+00       0.000000000000e+00       3.567705854404e-42       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       1.000000000000e-07       3.567705854404e-42 
       9.930486593843e+13       7.664693049753e-26       4.667526809499e-09       2.127654528182e+22       1.403502526784e+04       1.413327044472e-10       1.393746302666e+18       2.694689871968e-09       2.675846458098e+44       2.400623788821e+33       1.311669806183e+34       1.851067333040e+44       4.526913791293e+44       7.943322845168e-08       1.433565615563e+02       5.524322848904e-04      -4.971890564014e-04       1.000000000000e+00       0.000000000000e+00       3.660986117868e-42       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       1.000000000000e-07       3.660986117868e-42 
       9.861456399049e+13       7.772374322409e-26       4.700268618762e-09       2.098177236191e+22       1.403502526784e+04       1.423220333783e-10       1.384057897384e+18       2.713552701072e-09       2.602215788101e+44       2.350908324129e+33       1.284505918930e+34       1.800131926216e+44       4.402347714470e+44       1.588664569033e-07       7.167828077817e+01       5.512774274173e-04      -4.961496846756e-04       1.000000000000e+00       0.000000000000e+00       3.756705261641e-42       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       9.999999999999e-08       3.756705261641e-42 
       9.792906056652e+13       7.881568409264e-26       4.733010428026e-09       2.069108333218e+22       1.403502526784e+04       1.433182876120e-10       1.374436839507e+18       2.732547569979e-09       2.530611196824e+44       2.302222436600e+33       1.257904579329e+34       1.750598097618e+44       4.281209294591e+44       2.382996853549e-07       4.778552051878e+01       5.501249841692e-04      -4.951124857522e-04       1.000000000000e+00       0.000000000000e+00       3.854927052019e-42       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       9.999999999999e-08       3.854927052019e-42 
       9.724832231035e+13       7.992296563846e-26       4.765752237290e-09       2.040442161294e+22       1.403502526784e+04       1.443215156253e-10       1.364882660881e+18       2.751675402969e-09       2.460976933109e+44       2.254544804314e+33       1.231854137361e+34       1.702427280331e+44       4.163404213585e+44       3.177329138065e-07       3.583914038909e+01       5.489749500990e-04      -4.940774550891e-04       1.000000000000e+00       0.000000000000e+00       3.955716922520e-42       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       9.999999999998e-08       3.955716922520e-42 
       9.657231609766e+13       8.104580338271e-26       4.800313035958e-09       2.012173140839e+22       1.403502526784e+04       1.453317662347e-10       1.355394896605e+18       2.770937130790e-09       2.393258779893e+44       2.207854546916e+33       1.206343184267e+34       1.655581968676e+44       4.048840748711e+44       3.971661422581e-07       2.867131231127e+01       5.478273201704e-04      -4.930445881534e-04       1.000000000000e+00       0.000000000000e+00       4.059142017463e-42       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       9.999999999998e-08       4.059142017463e-42 
       9.590100903442e+13       8.218441587444e-26       4.833054845221e-09       1.984295769572e+22       1.403502526784e+04       1.463490885983e-10       1.345973085010e+18       2.790333690705e-09       2.327404011991e+44       2.162131216470e+33       1.181360547561e+34       1.610025689010e+44       3.937429701140e+44       4.765993707096e-07       2.389276025939e+01       5.466820893576e-04      -4.920138804218e-04       1.000000000000e+00       0.000000000000e+00       4.165271236710e-42       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       9.999999999997e-08       4.165271236710e-42 
       9.523436845523e+13       8.333902473306e-26       4.867615643889e-09       1.956804621446e+22       1.403502526784e+04       1.473735322185e-10       1.336616767636e+18       2.809866026540e-09       2.263361355045e+44       2.117354788505e+33       1.156895286130e+34       1.565722971327e+44       3.829084326510e+44       5.560325991612e-07       2.047950879376e+01       5.455392526452e-04      -4.909853273807e-04       1.000000000000e+00       0.000000000000e+00       4.274175281555e-42       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       9.999999999997e-08       4.274175281555e-42 
       9.457236192178e+13       8.450985469153e-26       4.900357453153e-09       1.929694345585e+22       1.403502526784e+04       1.484051469440e-10       1.327325489212e+18       2.829535088726e-09       2.201080945602e+44       2.073505653243e+33       1.132936685446e+34       1.522639321644e+44       3.723720267380e+44       6.354658276127e-07       1.791957019454e+01       5.443988050283e-04      -4.899589245255e-04       1.000000000000e+00       0.000000000000e+00       4.385926701831e-42       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       9.999999999996e-08       4.385926701831e-42 
       9.391495722123e+13       8.569713364009e-26       4.934918251820e-09       1.902959665248e+22       1.403502526784e+04       1.494439829726e-10       1.318098797628e+18       2.849341834347e-09       2.140514292291e+44       2.030564607015e+33       1.109474252870e+34       1.480741195136e+44       3.621255487558e+44       7.148990560643e-07       1.592850683959e+01       5.432607415126e-04      -4.889346673614e-04       1.000000000000e+00       0.000000000000e+00       4.500599944239e-42       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       9.999999999996e-08       4.500599944239e-42 
