# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0.2
# for k=1.05469e-05 to 9.11685 h/Mpc,
# number of wavenumbers equal to 270
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:vx_smg                 7:vx_prime_smg           8:d_tot                  9:phi                   10:psi                   11:t_g                   12:t_b                   13:t_ur                  14:t_tot              
       1.054685254309e-05      -1.178340957760e-03      -8.841584168619e-04      -8.841584483732e-04      -1.178323801342e-03      -8.842621126612e-04       5.119404527072e-01       5.117569550545e-01      -1.202633661889e-10      -2.491529842511e-15      -1.231291950395e-10      -5.743787535687e-14       3.177967454445e+02       3.358894347847e+02 
       1.117179284516e-05      -1.322046613804e-03      -9.920419146364e-04      -9.920419543066e-04      -1.322025016100e-03      -9.921582406276e-04       5.119403143702e-01       5.117568316214e-01      -1.513966799085e-10      -3.136621470508e-15      -1.550042574367e-10      -7.230715622267e-14       6.899144396176e+02       7.291885047751e+02 
       1.183376318815e-05      -1.483267896296e-03      -1.113089121313e-03      -1.113089171254e-03      -1.483240707818e-03      -1.113219612756e-03       5.119402200874e-01       5.117567540601e-01      -1.905887652179e-10      -3.948696794754e-15      -1.951300172714e-10      -9.102529542410e-14       1.497492131149e+03       1.582696010336e+03 
       1.253495773991e-05      -1.664137076612e-03      -1.248906226381e-03      -1.248906289252e-03      -1.664102850524e-03      -1.249052604350e-03       5.119400153448e-01       5.117565680699e-01      -2.399252311398e-10      -4.971004647848e-15      -2.456417098042e-10      -1.145883736879e-13       3.247560042942e+03       3.431892698945e+03 
       1.327770068094e-05      -1.867045521390e-03      -1.401295548370e-03      -1.401295627519e-03      -1.867002435664e-03      -1.401459742051e-03       5.119398877160e-01       5.117564615053e-01      -3.020312382952e-10      -6.258004974686e-15      -3.092271037590e-10      -1.442501910396e-13       7.014755029599e+03       7.408721799575e+03 
       1.406445390808e-05      -2.094674334573e-03      -1.572278984872e-03      -1.572279084514e-03      -2.094620096854e-03      -1.572463156424e-03       5.119396966376e-01       5.117562940426e-01      -3.802111978087e-10      -7.878196625045e-15      -3.892690623798e-10      -1.815888871493e-13       1.492635580842e+04       1.573525426667e+04 
       1.489782519471e-05      -2.350030261022e-03      -1.764125528654e-03      -1.764125654093e-03      -2.349961985606e-03      -1.764332101059e-03       5.119394509326e-01       5.117560748198e-01      -4.786242641565e-10      -9.917755561459e-15      -4.900257506276e-10      -2.285908595476e-13       3.040683155406e+04       3.189401796377e+04 
       1.578057683454e-05      -2.636484083625e-03      -1.979380805161e-03      -1.979380963077e-03      -2.636398137373e-03      -1.979612493246e-03       5.119392937081e-01       5.117559473187e-01      -6.025051670068e-10      -1.248526712899e-14      -6.168565159925e-10      -2.877562163876e-13       5.558344318377e+04       5.762700047385e+04 
       1.671563479743e-05      -2.957814495531e-03      -2.220900911614e-03      -2.220901110414e-03      -2.957706306883e-03      -2.221160756657e-03       5.119390346435e-01       5.117557215934e-01      -7.584426435902e-10      -1.571736902345e-14      -7.765065760770e-10      -3.622316635562e-13       7.990563980567e+04       8.073771636739e+04 
       1.770609842788e-05      -3.318257774701e-03      -2.491890843480e-03      -2.491891093750e-03      -3.318121588561e-03      -2.492182251863e-03       5.119386699016e-01       5.117553942632e-01      -9.547287883268e-10      -1.978648075315e-14      -9.774653726579e-10      -4.559775610595e-13       6.628702138041e+04       6.333611792259e+04 
