#scalar perturbations for mode k = 1.000000000000e-01 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:vx_smg                19:vx_prime_smg          20:h_prime               21:eta                
       1.186981625813e-06       2.560967401069e-12      -1.202105504189e+00       3.567192856642e-09       1.865971363506e-26       4.664928408765e-26       1.372606005720e-44       9.329856817530e-27      -9.015791281414e-01       3.567192856642e-09       6.011551588895e-01       6.994736239529e-01      -1.202105504189e+00       3.567192856642e-09       5.646142581673e-16      -9.015791281414e-01       3.567192856642e-09       7.587683497685e-30       7.659750938134e-23       1.186968661394e-08       1.000000000000e+00 
       1.205370487477e-06       2.600642215189e-12      -1.202110093316e+00       3.622470065989e-09       1.954052849896e-26       4.885132124741e-26       1.482280315557e-44       9.770264249481e-27      -9.015825699871e-01       3.622470065989e-09       6.011543390917e-01       6.994724766710e-01      -1.202110093316e+00       3.622470065989e-09       5.822419742452e-16      -9.015825699871e-01       3.622470065989e-09       9.054083921082e-30       8.287859367066e-23       1.205358109957e-08       1.000000000000e+00 
       1.223759349140e-06       2.640317029312e-12      -1.202113922802e+00       3.677745373480e-09       2.044862429338e-26       5.112156073346e-26       1.598854961363e-44       1.022431214669e-26      -9.015854421015e-01       3.677745373480e-09       6.011536562325e-01       6.994715192995e-01      -1.202113922802e+00       3.677745373480e-09       6.001409161274e-16      -9.015854421015e-01       3.677745373480e-09       1.063459891722e-29       8.902383026981e-23       1.223747524401e-08       1.000000000000e+00 
       1.242148210804e-06       2.679991843437e-12      -1.202117178540e+00       3.733019250513e-09       2.138441914542e-26       5.346104786355e-26       1.722650689943e-44       1.069220957271e-26      -9.015878839052e-01       3.733019250513e-09       6.011530878821e-01       6.994707053649e-01      -1.202117178540e+00       3.733019250513e-09       6.183109579923e-16      -9.015878839052e-01       3.733019250513e-09       1.232690439759e-29       9.504739370774e-23       1.242136904558e-08       1.000000000000e+00 
       1.260537072468e-06       2.719666657565e-12      -1.202120175241e+00       3.788292609923e-09       2.234833407990e-26       5.587083519975e-26       1.853998286834e-44       1.117416703995e-26      -9.015901314304e-01       3.788292609923e-09       6.011525653084e-01       6.994699561899e-01      -1.202120175241e+00       3.788292609923e-09       6.367520496293e-16      -9.015901314304e-01       3.788292609923e-09       1.412895378291e-29       1.009622169762e-22       1.260526253275e-08       1.000000000000e+00 
       1.309321401008e-06       2.824921088362e-12      -1.202093547017e+00       3.934817008477e-09       2.504421742858e-26       6.261054357145e-26       2.241573205530e-44       1.252210871429e-26      -9.015701602631e-01       3.934817008477e-09       6.011598652436e-01       6.994766132456e-01      -1.202093547017e+00       3.934817008477e-09       6.869874404269e-16      -9.015701602631e-01       3.934817008477e-09       1.942467658158e-29       1.162411993704e-22       1.309311742103e-08       1.000000000000e+00 
       1.358105729548e-06       2.930175519177e-12      -1.202069136850e+00       4.081342447105e-09       2.794863432207e-26       6.987158580518e-26       2.691415085799e-44       1.397431716104e-26      -9.015518526375e-01       4.081342447105e-09       6.011667748047e-01       6.994827157875e-01      -1.202069136850e+00       4.081342447105e-09       7.391283557416e-16      -9.015518526375e-01       4.081342447105e-09       2.545379613401e-29       1.310279729329e-22       1.358097080799e-08       1.000000000000e+00 
       1.406890058087e-06       3.035429950011e-12      -1.202052120682e+00       4.227887936444e-09       3.106949408096e-26       7.767373520240e-26       3.210756947871e-44       1.553474704048e-26      -9.015390905118e-01       4.227887936444e-09       6.011719713191e-01       6.994869698294e-01      -1.202052120682e+00       4.227887936444e-09       7.931747117624e-16      -9.015390905118e-01       4.227887936444e-09       3.219692042929e-29       1.454748866557e-22       1.406882280476e-08       1.000000000000e+00 
       1.455674386627e-06       3.140684380863e-12      -1.202040636638e+00       4.374449406160e-09       3.441456398004e-26       8.603640995009e-26       3.807357701158e-44       1.720728199002e-26      -9.015304774783e-01       4.374449406160e-09       6.011758517884e-01       6.994898408406e-01      -1.202040636638e+00       4.374449406160e-09       8.491268214141e-16      -9.015304774783e-01       4.374449406160e-09       3.964036737663e-29       1.597096477113e-22       1.455667363361e-08       1.000000000000e+00 
       1.476772584973e-06       3.186204713430e-12      -1.202049286409e+00       4.437883570225e-09       3.593300516606e-26       8.983251291516e-26       4.091416676821e-44       1.796650258303e-26      -9.015369648066e-01       4.437883570225e-09       6.011740273820e-01       6.994876783978e-01      -1.202049286409e+00       4.437883570225e-09       8.739162772028e-16      -9.015369648066e-01       4.437883570225e-09       4.307460932543e-29       1.658207812285e-22       1.476765859734e-08       1.000000000000e+00 
       1.497870783318e-06       3.231725046000e-12      -1.202056334938e+00       4.501312650321e-09       3.749542420356e-26       9.373856050891e-26       4.392177664982e-44       1.874771210178e-26      -9.015422512035e-01       4.501312650321e-09       6.011725356915e-01       6.994859162655e-01      -1.202056334938e+00       4.501312650321e-09       8.990629284800e-16      -9.015422512035e-01       4.501312650321e-09       4.663755568097e-29       1.719209382581e-22       1.497864338871e-08       1.000000000000e+00 
       1.518968981664e-06       3.277245378574e-12      -1.202062377115e+00       4.564738652189e-09       3.910246367709e-26       9.775615919273e-26       4.710368243497e-44       1.955123183855e-26      -9.015467828364e-01       4.564738652189e-09       6.011712586191e-01       6.994844057212e-01      -1.202062377115e+00       4.564738652189e-09       9.245665362496e-16      -9.015467828364e-01       4.564738652189e-09       5.032909101449e-29       1.780157017615e-22       1.518962802054e-08       1.000000000000e+00 
       1.540067180010e-06       3.322765711151e-12      -1.202067939039e+00       4.628163442168e-09       4.075476676526e-26       1.018869169132e-25       5.046736989647e-44       2.037738338263e-26      -9.015509542790e-01       4.628163442168e-09       6.011700775207e-01       6.994830152403e-01      -1.202067939039e+00       4.628163442168e-09       9.504270022255e-16      -9.015509542790e-01       4.628163442168e-09       5.414920211759e-29       1.841103549627e-22       1.540061250338e-08       1.000000000000e+00 
       1.689215095970e-06       3.644559194587e-12      -1.201632093637e+00       5.074537668812e-09       5.375969320703e-26       1.343992330176e-25       8.009024424844e-44       2.687984660352e-26      -9.012240702280e-01       5.074537668812e-09       6.012840884083e-01       6.995919765907e-01      -1.201632093637e+00       5.074537668812e-09       1.143370641393e-15      -9.012240702280e-01       5.074537668812e-09       8.487248227245e-29       2.277598868483e-22       1.689210616057e-08       1.000000000000e+00 
       1.733959470758e-06       3.741097239652e-12      -1.201671097074e+00       5.209122435123e-09       5.814774037660e-26       1.453693509415e-25       9.127748297629e-44       2.907387018830e-26      -9.012533228053e-01       5.209122435123e-09       6.012760588071e-01       6.995822257316e-01      -1.201671097074e+00       5.209122435123e-09       1.204723573544e-15      -9.012533228053e-01       5.209122435123e-09       9.536084295338e-29       2.410461419599e-22       1.733955326530e-08       1.000000000000e+00 
       1.778703845546e-06       3.837635284732e-12      -1.201705850019e+00       5.343697024217e-09       6.276817591145e-26       1.569204397786e-25       1.036811306859e-43       3.138408795572e-26      -9.012793875143e-01       5.343697024217e-09       6.012689395500e-01       6.995735374953e-01      -1.201705850019e+00       5.343697024217e-09       1.267680702359e-15      -9.012793875143e-01       5.343697024218e-09       1.064478307764e-28       2.545015306188e-22       1.778699998315e-08       1.000000000000e+00 
       1.823448220334e-06       3.934173329829e-12      -1.201735438801e+00       5.478255853677e-09       6.762691488375e-26       1.690672872094e-25       1.173976423049e-43       3.381345744188e-26      -9.013015791007e-01       5.478255853677e-09       6.012629069153e-01       6.995661402998e-01      -1.201735438801e+00       5.478255853677e-09       1.332242965347e-15      -9.013015791007e-01       5.478255853677e-09       1.181413732734e-28       2.681485917728e-22       1.823444658972e-08       1.000000000000e+00 
       1.868192595122e-06       4.030711374942e-12      -1.201761797955e+00       5.612806210875e-09       7.273002452900e-26       1.818250613225e-25       1.325287054182e-43       3.636501226450e-26      -9.013213484665e-01       5.612806210875e-09       6.012574864449e-01       6.995595505112e-01      -1.201761797955e+00       5.612806210875e-09       1.398410543047e-15      -9.013213484665e-01       5.612806210875e-09       1.304502929174e-28       2.820036862619e-22       1.868189272774e-08       1.000000000000e+00 
       1.954838940092e-06       4.217654846633e-12      -1.201756353074e+00       5.873100272014e-09       8.332585377952e-26       2.083146344488e-25       1.662473243624e-43       4.166292688976e-26      -9.013172648058e-01       5.873100272014e-09       6.012607942125e-01       6.995609117314e-01      -1.201756353074e+00       5.873100272014e-09       1.531104251606e-15      -9.013172648058e-01       5.873100272014e-09       1.560819190702e-28       3.094897234483e-22       1.954836050495e-08       1.000000000000e+00 
       2.041485285062e-06       4.404598318384e-12      -1.201753237390e+00       6.133403855920e-09       9.490398819342e-26       2.372599704836e-25       2.065046808858e-43       4.745199409671e-26      -9.013149280428e-01       6.133403855920e-09       6.012632397444e-01       6.995616906524e-01      -1.201753237390e+00       6.133403855920e-09       1.669813405429e-15      -9.013149280428e-01       6.133403855920e-09       1.841362767874e-28       3.378934140054e-22       2.041482744011e-08       1.000000000000e+00 
       2.067479188553e-06       4.460681359921e-12      -1.201774320443e+00       6.211608473112e-09       9.857726409566e-26       2.464431602391e-25       2.199945809080e-43       4.928863204783e-26      -9.013307403323e-01       6.211608473112e-09       6.012584014273e-01       6.995564198892e-01      -1.201774320443e+00       6.211608473112e-09       1.712599523784e-15      -9.013307403323e-01       6.211608473112e-09       1.930320517643e-28       3.466000366152e-22       2.067476745956e-08       1.000000000000e+00 
       2.093473092044e-06       4.516764401463e-12      -1.201792366660e+00       6.289799934065e-09       1.023439068797e-25       2.558597671991e-25       2.341799383478e-43       5.117195343983e-26      -9.013442749954e-01       6.289799934065e-09       6.012542734922e-01       6.995519083349e-01      -1.201792366660e+00       6.289799934065e-09       1.755927565771e-15      -9.013442749954e-01       6.289799934065e-09       2.021557727637e-28       3.553976240288e-22       2.093470736502e-08       1.000000000000e+00 
       2.119466995535e-06       4.572847443011e-12      -1.201808579281e+00       6.367984022700e-09       1.062051740724e-25       2.655129351809e-25       2.490874924274e-43       5.310258703619e-26      -9.013564344607e-01       6.367984022700e-09       6.012505566050e-01       6.995478551798e-01      -1.201808579281e+00       6.367984022700e-09       1.799797563301e-15      -9.013564344607e-01       6.367984022700e-09       2.115096010550e-28       3.642870395386e-22       2.119464717185e-08       1.000000000000e+00 
       2.145460899026e-06       4.628930484564e-12      -1.201823782962e+00       6.446164810556e-09       1.101623030634e-25       2.754057576585e-25       2.647446203708e-43       5.508115153170e-26      -9.013678372216e-01       6.446164810556e-09       6.012470493147e-01       6.995440542595e-01      -1.201823782962e+00       6.446164810556e-09       1.844209497303e-15      -9.013678372216e-01       6.446164810556e-09       2.210957810084e-28       3.732694417946e-22       2.145458703674e-08       1.000000000000e+00 
       2.223442609499e-06       4.797179609255e-12      -1.201836449991e+00       6.680535904226e-09       1.226178070187e-25       3.065445175468e-25       3.164887830013e-43       6.130890350936e-26      -9.013773374930e-01       6.680535904226e-09       6.012446380752e-01       6.995408875023e-01      -1.201836449991e+00       6.680535904226e-09       1.980694775824e-15      -9.013773374930e-01       6.680535904226e-09       2.512819774203e-28       4.007881218286e-22       2.223440632745e-08       1.000000000000e+00 
       2.301424319971e-06       4.965428733994e-12      -1.201845437872e+00       6.914890770284e-09       1.359781457282e-25       3.399453643204e-25       3.760238922043e-43       6.798907286408e-26      -9.013840784037e-01       6.914890770284e-09       6.012430738570e-01       6.995386405321e-01      -1.201845437872e+00       6.914890770284e-09       2.122052322544e-15      -9.013840784037e-01       6.914890770284e-09       2.836497361545e-28       4.291777497976e-22       2.301422537166e-08       1.000000000000e+00 
       2.379406030444e-06       5.133677858782e-12      -1.201856649592e+00       7.149262372157e-09       1.502756951844e-25       3.756892379611e-25       4.442002425310e-43       7.513784759222e-26      -9.013924871938e-01       7.149262372157e-09       6.012409113453e-01       6.995358376021e-01      -1.201856649592e+00       7.149262372157e-09       2.268281650661e-15      -9.013924871938e-01       7.149262372157e-09       3.182658262947e-28       4.584585771061e-22       2.379404424308e-08       1.000000000000e+00 
       2.457387740917e-06       5.301926983617e-12      -1.201869223076e+00       7.383646708108e-09       1.655421828637e-25       4.138554571593e-25       5.219260603673e-43       8.277109143187e-26      -9.014019173073e-01       7.383646708108e-09       6.012383513036e-01       6.995326942309e-01      -1.201869223076e+00       7.383646708108e-09       2.419383203251e-15      -9.014019173073e-01       7.383646708108e-09       3.552004032865e-28       4.886467962920e-22       2.457386281426e-08       1.000000000000e+00 
       2.497707021323e-06       5.388917684419e-12      -1.201886953806e+00       7.504903678711e-09       1.738275089331e-25       4.345687723328e-25       5.661798718505e-43       8.691375446655e-26      -9.014152153543e-01       7.504903678711e-09       6.012340951422e-01       6.995282615486e-01      -1.201886953806e+00       7.504903678711e-09       2.499421470823e-15      -9.014152153543e-01       7.504903678711e-09       3.752241852414e-28       5.046148375207e-22       2.497705632512e-08       1.000000000000e+00 
       2.538026301729e-06       5.475908385233e-12      -1.201902799918e+00       7.626152260587e-09       1.823845740492e-25       4.559614351230e-25       6.133851676481e-43       9.119228702461e-26      -9.014270999387e-01       7.626152260587e-09       6.012302283179e-01       6.995243000204e-01      -1.201902799918e+00       7.626152260587e-09       2.580764187424e-15      -9.014270999387e-01       7.626152260587e-09       3.958971875979e-28       5.208304776971e-22       2.538024965680e-08       1.000000000000e+00 
       2.578345582134e-06       5.562899086060e-12      -1.201917181967e+00       7.747394606167e-09       1.912178031689e-25       4.780445079223e-25       6.636873003278e-43       9.560890158445e-26      -9.014378864754e-01       7.747394606167e-09       6.012266765614e-01       6.995207045082e-01      -1.201917181967e+00       7.747394606167e-09       2.663410743116e-15      -9.014378864754e-01       7.747394606167e-09       4.172293273350e-28       5.372953346211e-22       2.578344311721e-08       1.000000000000e+00 
       2.618664862540e-06       5.649889786901e-12      -1.201930579213e+00       7.868633405211e-09       2.003316410196e-25       5.008291025490e-25       7.172363972647e-43       1.001658205098e-25      -9.014479344094e-01       7.868633405211e-09       6.012233336546e-01       6.995173551969e-01      -1.201930579213e+00       7.868633405211e-09       2.747360873143e-15      -9.014479344094e-01       7.868633405211e-09       4.392304848708e-28       5.540107101793e-22       2.618663657428e-08       1.000000000000e+00 
       2.850644625705e-06       6.150396789642e-12      -1.201625259261e+00       8.563516429715e-09       2.583620306868e-25       6.459050767170e-25       1.096144424020e-42       1.291810153434e-25      -9.012189444457e-01       8.563516429715e-09       6.013021270567e-01       6.995936851848e-01      -1.201625259261e+00       8.563516429715e-09       3.255600768928e-15      -9.012189444457e-01       8.563516429715e-09       5.796020755272e-28       6.551028185884e-22       2.850643690188e-08       1.000000000000e+00 
       2.920238554655e-06       6.300548890548e-12      -1.201665154386e+00       8.772872237257e-09       2.777594609200e-25       6.943986523000e-25       1.236683174623e-42       1.388797304600e-25      -9.012488657896e-01       8.772872237257e-09       6.012930234241e-01       6.995837114035e-01      -1.201665154386e+00       8.772872237257e-09       3.416471463278e-15      -9.012488657896e-01       8.772872237257e-09       6.263057171986e-28       6.870655407419e-22       2.920237667739e-08       1.000000000000e+00 
       2.989832483604e-06       6.450700991492e-12      -1.201700554291e+00       8.982208339008e-09       2.981036073319e-25       7.452590183297e-25       1.391277860581e-42       1.490518036659e-25      -9.012754157180e-01       8.982208339008e-09       6.012849335138e-01       6.995748614274e-01      -1.201700554291e+00       8.982208339008e-09       3.581224051548e-15      -9.012754157180e-01       8.982208339008e-09       6.752614858876e-28       7.197925619343e-22       2.989831670796e-08       1.000000000000e+00 
       3.059426412554e-06       6.600853092474e-12      -1.201731048314e+00       9.191519227793e-09       3.194167737031e-25       7.985419342578e-25       1.560956041568e-42       1.597083868516e-25      -9.012982862354e-01       9.191519227793e-09       6.012779227121e-01       6.995672379215e-01      -1.201731048314e+00       9.191519227793e-09       3.749860365137e-15      -9.012982862354e-01       9.191519227793e-09       7.265234758055e-28       7.532857682491e-22       3.059425647285e-08       1.000000000000e+00 
       3.129020341503e-06       6.751005193495e-12      -1.201758417418e+00       9.400816280494e-09       3.417218380780e-25       8.543045951951e-25       1.746797000797e-42       1.708609190390e-25      -9.013188130634e-01       9.400816280494e-09       6.012715559058e-01       6.995603956455e-01      -1.201758417418e+00       9.400816280494e-09       3.922380701165e-15      -9.013188130634e-01       9.400816280494e-09       7.801439431885e-28       7.875459298749e-22       3.129019613440e-08       1.000000000000e+00 
       3.289999269219e-06       7.098324630573e-12      -1.201739853917e+00       9.884308044924e-09       3.972174054643e-25       9.930435136609e-25       2.244774935573e-42       1.986087027322e-25      -9.013048904379e-01       9.884308044924e-09       6.012771646327e-01       6.995650365207e-01      -1.201739853917e+00       9.884308044924e-09       4.336309755634e-15      -9.013048904379e-01       9.884308044924e-09       9.135914865021e-28       8.697431119035e-22       3.289998641098e-08       1.000000000000e+00 
       3.450978196935e-06       7.445644067857e-12      -1.201724846158e+00       1.036781554138e-08       4.584184502958e-25       1.146046125740e-24       2.850358268835e-42       2.292092251479e-25      -9.012936346184e-01       1.036781554138e-08       6.012817941968e-01       6.995687884605e-01      -1.201724846158e+00       1.036781554138e-08       4.770998141859e-15      -9.012936346184e-01       1.036781554138e-08       1.060614052342e-27       9.560636055081e-22       3.450977643541e-08       1.000000000000e+00 
       3.499271875250e-06       7.549839899083e-12      -1.201749976855e+00       1.051312467027e-08       4.779446262053e-25       1.194861565513e-24       3.055525320074e-42       2.389723131026e-25      -9.013124826415e-01       1.051312467027e-08       6.012757282780e-01       6.995625057862e-01      -1.201749976855e+00       1.051312467027e-08       4.905454267870e-15      -9.013124826415e-01       1.051312467027e-08       1.107425885612e-27       9.827649019363e-22       3.499271342722e-08       1.000000000000e+00 
       3.547565553565e-06       7.654035730326e-12      -1.201771235721e+00       1.065840552874e-08       4.980162282476e-25       1.245040570619e-24       3.272331440103e-42       2.490081141238e-25      -9.013284267910e-01       1.065840552874e-08       6.012705806183e-01       6.995571910697e-01      -1.201771235721e+00       1.065840552874e-08       5.041781024820e-15      -9.013284267910e-01       1.065840552874e-08       1.155539886552e-27       1.009838831848e-21       3.547565041472e-08       1.000000000000e+00 
       3.595859231880e-06       7.758231561588e-12      -1.201790143863e+00       1.080367038908e-08       5.186412863858e-25       1.296603215964e-24       3.501268216046e-42       2.593206431929e-25      -9.013426078972e-01       1.080367038908e-08       6.012659718137e-01       6.995524640343e-01      -1.201790143863e+00       1.080367038908e-08       5.179978565564e-15      -9.013426078972e-01       1.080367038908e-08       1.204972307111e-27       1.037285640151e-21       3.595858741039e-08       1.000000000000e+00 
       3.644152910195e-06       7.862427392869e-12      -1.201807741454e+00       1.094892787653e-08       5.398277115554e-25       1.349569278889e-24       3.742840243118e-42       2.699138557777e-25      -9.013558060901e-01       1.094892787653e-08       6.012616468774e-01       6.995480646366e-01      -1.201807741454e+00       1.094892787653e-08       5.320046816769e-15      -9.013558060901e-01       1.094892787653e-08       1.255739834567e-27       1.065105494391e-21       3.644152442254e-08       1.000000000000e+00 
       3.789033945139e-06       8.175014886822e-12      -1.201817947653e+00       1.138432242719e-08       6.068125802602e-25       1.517031450651e-24       4.548461258311e-42       3.034062901301e-25      -9.013634607396e-01       1.138432242719e-08       6.012592366699e-01       6.995455130868e-01      -1.201817947653e+00       1.138432242719e-08       5.751467091472e-15      -9.013634607396e-01       1.138432242719e-08       1.416298030523e-27       1.150802738689e-21       3.789033533967e-08       1.000000000000e+00 
       3.933914980083e-06       8.487602380941e-12      -1.201824245656e+00       1.181968592780e-08       6.791196123868e-25       1.697799030967e-24       5.487179208971e-42       3.395598061934e-25      -9.013681842421e-01       1.181968592780e-08       6.012577146209e-01       6.995439385860e-01      -1.201824245656e+00       1.181968592780e-08       6.199709698990e-15      -9.013681842421e-01       1.181968592780e-08       1.589526352799e-27       1.239855749081e-21       3.933914600424e-08       1.000000000000e+00 
       4.078796015028e-06       8.800189875227e-12      -1.201834092149e+00       1.225509017307e-08       7.569564268942e-25       1.892391067235e-24       6.574879318420e-42       3.784782134471e-25      -9.013755691115e-01       1.225509017307e-08       6.012552467574e-01       6.995414769628e-01      -1.201834092149e+00       1.225509017307e-08       6.664773798814e-15      -9.013755691115e-01       1.225509017307e-08       1.775896557606e-27       1.332263896244e-21       4.078795657898e-08       1.000000000000e+00 
       4.122260325511e-06       8.893966123545e-12      -1.201849622015e+00       1.238584245053e-08       7.814240571314e-25       1.953560142828e-24       6.932829807531e-42       3.907120285657e-25      -9.013872165110e-01       1.238584245053e-08       6.012513402809e-01       6.995375944963e-01      -1.201849622015e+00       1.238584245053e-08       6.807574123199e-15      -9.013872165110e-01       1.238584245053e-08       1.834414828715e-27       1.360641644040e-21       4.122260000497e-08       1.000000000000e+00 
       4.165724635994e-06       8.987742371878e-12      -1.201863073170e+00       1.251657643691e-08       8.064121643736e-25       2.016030410934e-24       7.306192662470e-42       4.032060821868e-25      -9.013973048772e-01       1.251657643691e-08       6.012479316594e-01       6.995342317076e-01      -1.201863073170e+00       1.251657643691e-08       6.951889614384e-15      -9.013973048772e-01       1.251657643691e-08       1.894176400923e-27       1.389321190984e-21       4.165724295865e-08       1.000000000000e+00 
       4.209188946478e-06       9.081518620226e-12      -1.201875352117e+00       1.264730102946e-08       8.319267621685e-25       2.079816905421e-24       7.695465056024e-42       4.159633810843e-25      -9.014065140881e-01       1.264730102946e-08       6.012447971452e-01       6.995311619707e-01      -1.201875352117e+00       1.264730102946e-08       7.097720300744e-15      -9.014065140881e-01       1.264730102946e-08       1.955192714781e-27       1.418303678488e-21       4.209188638665e-08       1.000000000000e+00 
       4.252653256961e-06       9.175294868589e-12      -1.201886931758e+00       1.277802083799e-08       8.579736232430e-25       2.144934058108e-24       8.101152666322e-42       4.289868116215e-25      -9.014151988184e-01       1.277802083799e-08       6.012418186078e-01       6.995282670605e-01      -1.201886931758e+00       1.277802083799e-08       7.245066123176e-15      -9.014151988184e-01       1.277802083799e-08       2.017475765028e-27       1.447588075496e-21       4.252652934221e-08       1.000000000000e+00 
       4.687296361794e-06       1.011305735304e-11      -1.201445146143e+00       1.407882353673e-08       1.148422228793e-24       2.871055571983e-24       1.317344462468e-41       5.742111143965e-25      -9.010838596073e-01       1.407882353673e-08       6.013556498978e-01       6.996387134642e-01      -1.201445146143e+00       1.407882353673e-08       8.801410496182e-15      -9.010838596073e-01       1.407882353673e-08       2.714683159088e-27       1.757031915351e-21       4.687296104282e-08       1.000000000000e+00 
       4.817689293244e-06       1.039438609867e-11      -1.201501141482e+00       1.447114783879e-08       1.247012921662e-24       3.117532304155e-24       1.511128730176e-41       6.235064608310e-25      -9.011258561117e-01       1.447114783879e-08       6.013428921139e-01       6.996247146294e-01      -1.201501141482e+00       1.447114783879e-08       9.297785913888e-15      -9.011258561117e-01       1.447114783879e-08       2.950234850288e-27       1.855755277689e-21       4.817689055184e-08       1.000000000000e+00 
