#scalar perturbations for mode k = 1.000000000000e-01 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:vx_smg                19:vx_prime_smg          20:h_prime               21:eta                
       1.002529821776e-06       2.163004157323e-12      -1.202220982946e+00       3.013155964948e-09       1.124363152299e-26       2.810907880748e-26       5.900028811800e-45       5.621815761497e-27      -9.016657372098e-01       3.013155964948e-09       6.011244755808e-01       6.994447542634e-01      -1.202220982946e+00       3.013155964948e-09       4.027786677096e-16      -9.016657372098e-01       3.013155964948e-09       4.483054374449e-33       1.257734527978e-24       1.002525450454e-08       1.000000000000e+00 
       1.005059642444e-06       2.168462361671e-12      -1.202203350696e+00       3.020715169441e-09       1.132879811732e-26       2.832199529330e-26       5.974759578454e-45       5.664399058659e-27      -9.016525130218e-01       3.020715169441e-09       6.011285015725e-01       6.994491623261e-01      -1.202203350696e+00       3.020715169441e-09       4.048155781130e-16      -9.016525130218e-01       3.020715169441e-09       1.025480613790e-32       2.507206352162e-24       1.005051250306e-08       1.000000000000e+00 
       1.007589463112e-06       2.173920566018e-12      -1.202186161417e+00       3.028275269005e-09       1.141439707309e-26       2.853599268272e-26       6.050247463405e-45       5.707198536544e-27      -9.016396210628e-01       3.028275269005e-09       6.011324331016e-01       6.994534596457e-01      -1.202186161417e+00       3.028275269005e-09       4.068575687352e-16      -9.016396210628e-01       3.028275269005e-09       1.915823601308e-32       3.748404164031e-24       1.007577144710e-08       1.000000000000e+00 
       1.018679185142e-06       2.197847150923e-12      -1.202156971162e+00       3.061530703926e-09       1.179516107111e-26       2.948790267778e-26       6.390453335508e-45       5.897580535556e-27      -9.016177283712e-01       3.061530703926e-09       6.011391971853e-01       6.994607572096e-01      -1.202156971162e+00       3.061530703926e-09       4.158650125464e-16      -9.016177283712e-01       3.061530703926e-09       9.205750799451e-32       9.101498590490e-24       1.018660317132e-08       1.000000000000e+00 
       1.029768907173e-06       2.221773735829e-12      -1.202151287837e+00       3.094845041018e-09       1.218453192171e-26       3.046132980429e-26       6.745922179318e-45       6.092265960857e-27      -9.016134658777e-01       3.094845041018e-09       6.011406409700e-01       6.994621780408e-01      -1.202151287837e+00       3.094845041018e-09       4.249687242884e-16      -9.016134658777e-01       3.094845041018e-09       2.221391550622e-31       1.430940757402e-23       1.029748948814e-08       1.000000000000e+00 
       1.040858629203e-06       2.245700320735e-12      -1.202152343096e+00       3.128176594501e-09       1.258244812299e-26       3.145612030747e-26       7.117075454890e-45       6.291224061494e-27      -9.016142573221e-01       3.128176594501e-09       6.011405524845e-01       6.994619142260e-01      -1.202152343096e+00       3.128176594501e-09       4.341703266434e-16      -9.016142573221e-01       3.128176594501e-09       4.088300987539e-31       1.937831068619e-23       1.040839142066e-08       1.000000000000e+00 
       1.051948351233e-06       2.269626905643e-12      -1.202154451110e+00       3.161510977633e-09       1.298894628508e-26       3.247236571270e-26       7.504394957448e-45       6.494473142540e-27      -9.016158383329e-01       3.161510977633e-09       6.011402169602e-01       6.994613872224e-01      -1.202154451110e+00       3.161510977633e-09       4.434703963718e-16      -9.016158383329e-01       3.161510977633e-09       6.509624557164e-31       2.431606632118e-23       1.051929567888e-08       1.000000000000e+00 
       1.085706669878e-06       2.342462029486e-12      -1.202139284446e+00       3.262926592642e-09       1.427981915187e-26       3.569954787967e-26       8.788214463584e-45       7.139909575933e-27      -9.016044633346e-01       3.262926592642e-09       6.011445726477e-01       6.994651788885e-01      -1.202139284446e+00       3.262926592642e-09       4.723874152215e-16      -9.016044633346e-01       3.262926592642e-09       1.710988187560e-30       3.864806621434e-23       1.085689616364e-08       1.000000000000e+00 
       1.119464988523e-06       2.415297153338e-12      -1.202124504840e+00       3.364340732948e-09       1.565349781442e-26       3.913374453606e-26       1.024201377600e-44       7.826748907211e-27      -9.015933786299e-01       3.364340732948e-09       6.011489295215e-01       6.994688737900e-01      -1.202124504840e+00       3.364340732948e-09       5.022170070862e-16      -9.015933786299e-01       3.364340732948e-09       3.238496311267e-30       5.203427587112e-23       1.119449498906e-08       1.000000000000e+00 
       1.153223307168e-06       2.488132277199e-12      -1.202113500123e+00       3.465763258824e-09       1.711260428887e-26       4.278151072217e-26       1.188217263268e-44       8.556302144434e-27      -9.015851250923e-01       3.465763258824e-09       6.011524080098e-01       6.994716249692e-01      -1.202113500123e+00       3.465763258824e-09       5.329592358656e-16      -9.015851250923e-01       3.465763258824e-09       5.205467058818e-30       6.463687131725e-23       1.153209163252e-08       1.000000000000e+00 
