# background statistics
# cycle   tau/boxsize    a             conformal H/H0  phi(k=0)       T00(k=0)
      0   2.811825e+00   9.900990e-03   5.696651e+00   0.000000e+00   3.120460e-01
      1   2.877607e+00   1.030088e-02   5.581859e+00   3.534193e-10   3.120460e-01
      2   2.944743e+00   1.071692e-02   5.469494e+00   6.707998e-10   3.120460e-01
      3   3.013257e+00   1.114977e-02   5.359500e+00   9.689492e-10   3.120460e-01
      4   3.083178e+00   1.160010e-02   5.251820e+00   1.250147e-09   3.120460e-01
      5   3.154533e+00   1.206863e-02   5.146399e+00   1.516431e-09   3.120460e-01
      6   3.227349e+00   1.255609e-02   5.043186e+00   1.769658e-09   3.120460e-01
      7   3.301655e+00   1.306324e-02   4.942128e+00   2.011528e-09   3.120460e-01
      8   3.377481e+00   1.359088e-02   4.843177e+00   2.243601e-09   3.120460e-01
      9   3.454856e+00   1.413984e-02   4.746283e+00   2.467304e-09   3.120460e-01
     10   3.533810e+00   1.471097e-02   4.651400e+00   2.683953e-09   3.120460e-01
     11   3.614375e+00   1.530518e-02   4.558482e+00   2.894756e-09   3.120460e-01
     12   3.696583e+00   1.592339e-02   4.467484e+00   3.100831e-09   3.120460e-01
     13   3.780464e+00   1.656658e-02   4.378363e+00   3.303208e-09   3.120460e-01
     14   3.866054e+00   1.723576e-02   4.291078e+00   3.502845e-09   3.120460e-01
     15   3.953384e+00   1.793197e-02   4.205587e+00   3.700631e-09   3.120460e-01
     16   4.042489e+00   1.865631e-02   4.121850e+00   3.897396e-09   3.120460e-01
     17   4.133405e+00   1.940990e-02   4.039829e+00   4.093915e-09   3.120460e-01
     18   4.226166e+00   2.019395e-02   3.959485e+00   4.290916e-09   3.120460e-01
     19   4.320810e+00   2.100967e-02   3.880783e+00   4.489085e-09   3.120460e-01
     20   4.417373e+00   2.185835e-02   3.803685e+00   4.689072e-09   3.120460e-01
     21   4.515894e+00   2.274131e-02   3.728158e+00   4.891492e-09   3.120460e-01
     22   4.616410e+00   2.365994e-02   3.654166e+00   5.096935e-09   3.120460e-01
     23   4.718961e+00   2.461569e-02   3.581678e+00   5.305965e-09   3.120460e-01
     24   4.823589e+00   2.561005e-02   3.510660e+00   5.519124e-09   3.120460e-01
     25   4.930332e+00   2.664458e-02   3.441081e+00   5.736939e-09   3.120459e-01
     26   5.039234e+00   2.772090e-02   3.372911e+00   5.959920e-09   3.120459e-01
     27   5.150337e+00   2.884071e-02   3.306118e+00   6.188568e-09   3.120459e-01
     28   5.263685e+00   3.000576e-02   3.240675e+00   6.423372e-09   3.120459e-01
     29   5.379321e+00   3.121788e-02   3.176552e+00   6.664817e-09   3.120459e-01
     30   5.497292e+00   3.247897e-02   3.113721e+00   6.913381e-09   3.120459e-01
     31   5.617644e+00   3.379101e-02   3.052156e+00   7.169541e-09   3.120459e-01
     32   5.740423e+00   3.515605e-02   2.991830e+00   7.433773e-09   3.120459e-01
     33   5.865677e+00   3.657624e-02   2.932717e+00   7.706554e-09   3.120459e-01
     34   5.993457e+00   3.805381e-02   2.874791e+00   7.988366e-09   3.120459e-01
     35   6.123811e+00   3.959107e-02   2.818029e+00   8.279693e-09   3.120459e-01
     36   6.256790e+00   4.119044e-02   2.762406e+00   8.581026e-09   3.120459e-01
     37   6.392447e+00   4.285443e-02   2.707898e+00   8.892866e-09   3.120459e-01
     38   6.530835e+00   4.458564e-02   2.654484e+00   9.215720e-09   3.120459e-01
     39   6.672008e+00   4.638680e-02   2.602139e+00   9.550107e-09   3.120459e-01
     40   6.816021e+00   4.826072e-02   2.550843e+00   9.896559e-09   3.120458e-01
     41   6.962929e+00   5.021035e-02   2.500574e+00   1.025562e-08   3.120458e-01
     42   7.112791e+00   5.223875e-02   2.451312e+00   1.062785e-08   3.120458e-01
     43   7.265664e+00   5.434910e-02   2.403035e+00   1.101382e-08   3.120458e-01
     44   7.421609e+00   5.654471e-02   2.355725e+00   1.141412e-08   3.120458e-01
     45   7.580686e+00   5.882903e-02   2.309363e+00   1.182937e-08   3.120458e-01
     46   7.742956e+00   6.120563e-02   2.263928e+00   1.226020e-08   3.120458e-01
